,Address
65000,"53  Castlepark Square, Castlepark, Dunboyne Road  Maynooth"
65001,"54 Ard Cluain, Clonee"
65002,"6 cuirt na heaglaise, main street, newmarket on fergus"
65003,"7 kilbarrack gardens, dublin 5"
65004,"75 Lower Dodder Road, Rathfarnham"
65005,"Apartment 14, Aubrey Court, Bray"
65006,"Apartment 16, Aubrey Court, Bray"
65007,"Apartment 18, Aubrey Court, Bray"
65008,"Apartment 24, Aubrey Court, Bray"
65009,"Apartment 26, Aubrey Court, Bray"
65010,"Apartment 2, Aubrey Court, Bray"
65011,"Apartment 32, Aubrey Court, Bray"
65012,"Apartment 4, Aubrey Court, Bray"
65013,"Apartment 5, Aubrey Court, Bray"
65014,"Apartment 6, Aubrey Court, Bray"
65015,"Apartment 8, Aubrey Court, Bray"
65016,"Apartment13, Aubrey Court, Bray"
65017,"Apt 56 Cedar Square, Ridgewood, Swords"
65018,"Apt 91 Castledawson, Blackrock"
65019,"Aughrismore, Claddaghduff"
65020,"Coranagh, Knocktemple, Virginia"
65021,"Illaunstookagh, Dooks, Killorglin"
65022,"Long Street Upper, Louisburgh"
65023,"Mountainmuck, Killurin, Co. Wexford"
65024,"No. 1 Liam Lynch Park, Mitchelstown"
65025,"Portain, Baterstown"
65026,"Shanbolhan, Bellacorick, Ballina"
65027,"Site 66 Berkeley Court, Temple Road, Blackrock"
65028,"Tullyvogey, Tydavnet, Monaghan"
65029,"1 Sycamore Drive, Archerstown Wood, Ashbourne"
65030,"10B Sycamore Close, Cabinteely"
65031,"11 Millbrook Manor, Portarlington"
65032,"112 Marsham Court, Upper Kilmacud Road"
65033,"13 Silverdale Court, Bray"
65034,"14 Cnoc Cluain, Ballina"
65035,"145 Richmond Road, Drumcondra"
65036,"15 Glenbourne Close, Leopardstown, Dublin 18"
65037,"15 Rathmichael Manor  Whitegables, Loughlinstown Co Dublin"
65038,"15 Rosemary Heights, Ferns"
65039,"16Cuirt Monard, Monard, Tipperary"
65040,"17 Woodview Court, Killala"
65041,"2 Crosses Lane, Youghal"
65042,"2 Swan View, the faythe"
65043,"21 Beaufort Abbey, Navan"
65044,"21 Delgany Park, Delgany"
65045,"22  Broadmeadow Road, Garden City, Ashbourne"
65046,"24 Willow Green, Athlumney Wood, Navan"
65047,"28 Glor na Mara, Rosslare Strand"
65048,"29 An Faill, Cul Ard, Carrigtwohill"
65049,"3 Summerhill Place, Dublin 1"
65050,"32 Knockfree Avenue, Fairhill"
65051,"35 Carrickbrack Heath, Sutton, Dublin 13"
65052,"39 Mariners Court, Howth Road, Sutton"
65053,"4 Holland Street, Liscannor"
65054,"47 Cuirt Monard, Monard, Tipperary"
65055,"47 Ross Road, Enniscorthy"
65056,"5 Callenders Mill, Celbridge"
65057,"5 Mount Drummond Square, Harold's Cross, Dublin"
65058,"69 Achill Square, Waterville, Blanchardstown"
65059,"7 bellview terrace, tramore"
65060,"8 Eugene Street, Dublin 8"
65061,"81 Lios an Uisce, Merlin Park, Galway"
65062,"9 Castlerock Road, Castleconnell"
65063,"93 Bird Avenue, Clonskeagh"
65064,"Apartment 5 Kelston Avenue, Leopardstown Road, Foxrock"
65065,"Apt 34A Redmond Cove, Wexford"
65066,"Ballyhasty, Cloughjordan, Roscrea"
65067,"Carrigdhoun, Williamstown Road, Waterford"
65068,"DOONSHASKIN, BANNILFUL"
65069,"GROVINE EAST, WATERFORD ROAD, KILKENNY"
65070,"Inchaboy South, Gort"
65071,"Kayville, Ballinacurra Road, Limerick"
65072,"Market Street, Ballyshannon"
65073,"NO. 1 WELL ROAD HOMES, CHURCHYARD LANE, BALLINLOUGH"
65074,"NO. 18 PARC ROUGHTY, KENMARE"
65075,"No. 23 Tor Bhui, Cappagh Road, Galway"
65076,"The Hawthorns, Victoria Avenue, Blackrock"
65077,"The Old Post Office, Main Street, Delgany"
65078,"1 Esker Meadow Grove, Lucan"
65079,"10 Rochelle Park, Victoria Avenue, Blackrock  Cork"
65080,"12 Woodbrook Place, Green Lane, Carlow"
65081,"120 Tubberclaire Meadows, Athlumney, Navan"
65082,"124 Avenue One, Yellowbatter, Drogheda"
65083,"14 Brookville Park, Drogheda"
65084,"14 Cushla Grove, Monksland, Athlone"
65085,"15 MacNean Crescent, Glenfarne"
65086,"15 Springbrook, Donnybrook, Douglas"
65087,"157 Glebemount, Wicklow Town"
65088,"17 Ard Bannaghar, Glaslough"
65089,"17 Stone Court, The Square, Roscommon"
65090,"18 Meadowlands, Athboy"
65091,"19 North Great Clarence Street, Dublin 1"
65092,"19 Ruanbeg Lawns, Kildare Town, Kildare"
65093,"20 Elmfield Green, Clare Hall, Dublin 13"
65094,"23/24 Lower Dorset Street, Dublin"
65095,"24 Ard Erin, Mountrath"
65096,"25 Brabazon Square, Dublin 8"
65097,"27 Auburn Street, Parish of St. Mary"
65098,"28brennanstown avenue, cabinteely"
65099,"3 Bellview Terrace, Austin Friars Street, Mullingar"
65100,"3 De Selby Green, Tallaght"
65101,"3 Jubilee Row, Aughrim"
65102,"3 Lime Kiln Lawn, Bathview, Mallow"
65103,"30 Glasanaon Road, Finglas"
65104,"31 Summerstown Road, Wilton, Cork"
65105,"317 Bannow Road, Cabra West, Dublin 7"
65106,"32 Hollymount Estate, Blarney Road, Cork."
65107,"36 Edendale Road, Ranelagh, Dublin 6"
65108,"4 Castlemorris Mews, Ballymullen, Tralee"
65109,"4 Coldwell Street, Glasthule"
65110,"4 Tamarisk Grove, Tallaght, Dublin 24"
65111,"4 Upper Gardiner Street, Dublin 1"
65112,"42 Ascension Heights, Churchfield"
65113,"44 Curragh Park, Carlanstown, Kells"
65114,"46 Westbourne Green, Clondalkin, Dublin 22"
65115,"48 The Village, Adare Manor, Adare"
65116,"5 Post Office Avenue, Blackrock, Cork City"
65117,"518 Pearse Villas, Sallynoggin"
65118,"54 Childers Park, Thurles"
65119,"55 Cairnbrook Avenue, Glenamuck Road, Carrickmines"
65120,"6 St. Joseph's Terrace, Ballyhooly Rd."
65121,"610 Chestnut Close, Elm Park, Castletroy"
65122,"62 Cloncurry House, Spencer Dock, North Wall Quay"
65123,"7 beechpark west, athlone, westmeath"
65124,"95 Bellevue Heights, New Ross"
65125,"Apt 24 The Willow, Parkview, Stepaside"
65126,"Ballymacarthur, Greencastle"
65127,"Beach Lea, Ballinamona, The Ballagh"
65128,"Blackhall BIg, Dunboyne"
65129,"Bonavalley, Athlone"
65130,"Buckhill, Fairymount, Castlrea"
65131,"Carrowreagh, Carrick-on-Shannon"
65132,"COOLNAGARRAHY, KILCUMMIN, KILLARNEY"
65133,"EDENVALE, KILRUSH ROAD, ENNIS"
65134,"Glashagh, Gweedore"
65135,"Glen Road, Tramore, County Waterford"
65136,"Greenfield, Convoy"
65137,"Kingsgate, Duleek"
65138,"Liscolman, Tullow"
65139,"Luggawannia, Headford"
65140,"Muckno Street, Castleblayney"
65141,"No. 9 Surfers Cove, Tullan Strand Road, Bundoran"
65142,"Oceanview  Tomathone Upper, Inch  Gorey, Co Wexford"
65143,"Property Described in Folio 3271F, Co Kilkenny"
65144,"Rathmaiden, Slane"
65145,"Sragh (Rahan) Road, Tullamore"
65146,"Strawberry Hill, Dunmore"
65147,"Strawberry Hill, Dunmore"
65148,"The Rowans, Cappanacush, Templenoe  Killarney"
65149,"10 College Avenue, College Manor, Cóbh"
65150,"104 ARD ALAINN, BALLYBANE"
65151,"116 Raheny Road, Raheny"
65152,"12 grange manor, tulsk, county roscommon"
65153,"12 Heatherbrook, Marlton Road, Wicklow Town"
65154,"13 Brooklawn Avenue, Newtownpark Avenue, Blackrock"
65155,"14 Grosvenor Court, Vernon Avenue, Clontarf"
65156,"14 St. Johns Avenue, Waterford"
65157,"16 creevaghbui, ballymahon"
65158,"18 Park Avenue, Grange Rath, Drogheda"
65159,"19 Churchfield Place East, Churchfield, Cork"
65160,"19 Merrion Woods, Stillorgan Road, Blackrock"
65161,"2 Church Street, East Wall"
65162,"2 ennybegs, killoe"
65163,"2 Ladycove, Palmer Road, Rush"
65164,"2 Ocean Point, Courtown"
65165,"2 The Orchard, Cloverhill Road, Clondalkin"
65166,"21 Caislean Cuirt, Cabragh Road, Thurles"
65167,"23 Ashgrove Drive, Clonmel"
65168,"24 GLYDE VIEW, TALLANSTOWN, ARDEE"
65169,"26 Greenville Terrace, Dublin 8"
65170,"27 Killiney Towers, Killiney"
65171,"29 The Priory, Kilcormac"
65172,"3 Abbey Close, Loreto Terrace, Rathfarnham"
65173,"3 Eyre Mews, Newbridge"
65174,"3 Oakwood Close, Shantalla, Galway"
65175,"33 Glendale Drive, Bray"
65176,"34 Deerpark road, Mount Merrion"
65177,"34 Slade Castle Walk, Slade Castle, Saggert"
65178,"36 Clarinda Park, Dun Laoghaire"
65179,"37 Cowper Hall, Mount St. Annes, Milltown"
65180,"42 PARK COURT, GRANGE RATH, DROGHEDA"
65181,"43 Somerton Park, Ballinlough, Cork"
65182,"44 Brennanstown Avenue, Brennanstown, Cabinteely"
65183,"44 High Street, Headford"
65184,"5 The Orchard, Tullaghan"
65185,"50 Oakmount, Tower, Blarney"
65186,"51  Griffith Drive, Finglas, Dublin 11"
65187,"54 Grange Road, Baldoyle, Dublin 13"
65188,"64 The Crescent, Robswall, Malahide"
65189,"71 Brackinrainey Manor, Longwood"
65190,"8 Beechville, Coachford, County Cork"
65191,"8 Windsor Road, Rathmines"
65192,"803 Riverpoint, Bishops Quay, Limerick"
65193,"87 Castlecurragh Vale, Mulhuddart"
65194,"9 Glaise na Rinne, Shannon"
65195,"9 Humbert Street, Ballina"
65196,"9 Sundrive Park, Kimmage, Dublin 12"
65197,"97 Lower Beechwood Avenue, Ranelagh"
65198,"Apartment 89 The Atrium, Roebuck Hill  Roebuck Road, Mount Merion"
65199,"Apt. 57 Liberty Corner, Foley Street"
65200,"Ardeevin House, Ardeevin Road, Dalkey"
65201,"Ballingaddy West, Corcomroe, Ennistymon"
65202,"Ballinure, Rathangan"
65203,"Ballyboggan Lower, Castlebridge"
65204,"BERGHOF, MODEL FARM ROAD"
65205,"Bridgetown, O'Briens Bridge"
65206,"Cahernagarry, Kilrickle, Loughrea"
65207,"Collierstown, Tara"
65208,"Corville, Roscrea, Co tipperary"
65209,"Drumman, Rochfordbridge"
65210,"Garrycloyne, Glencairn"
65211,"Glencrue, Garrykennedy, Nenagh"
65212,"GLENFINN ROAD, BALLYBOFEY"
65213,"Gortnagoyne, Ballinagare, Castlerea"
65214,"Gull Cottage, Coastguard Road, Bonmahon"
65215,"Lower Cork Street, Macroom, Co. Cork"
65216,"Lower Cotteen, Derrybeg"
65217,"Millicent Road, Clane"
65218,"MINOR ROW, MILLSTREET"
65219,"MULBERRY HOUSE, BROWNSTOWN, CASTLEINCH"
65220,"No 10 The Mills, Market Street, Skibbereen"
65221,"No 2 St Josephs Tce, Ballyhooley Road, St. Lukes"
65222,"No.6 Kilminchy Place, Kilminchy"
65223,"Raheen, Camolin, Enniscorthy"
65224,"Riverside, Oughterard, Co. Galway"
65225,"Robin Hill, Amorset, Manorhamilton"
65226,"ROCHELLE, KILCREA PARK, MAGAZINE ROAD CORK"
65227,"Rogha Cronain, Lourdes Road, Roscrea"
65228,"Seaverge, Greenfield Road, Sutton"
65229,"station road, thomastown"
65230,"12 Fairgreen, Kells"
65231,"44 northlands, eastham road, bettystown"
65232,"9 Ashfort, Croghan, Boyle"
65233,"B9 Spanish Cove Holiday Homes, Kilkee"
65234,"1 Ashgrove Drive, Naas"
65235,"1 Prague Haus, College Road, Castleknock"
