,Address
22500,"Old Monastery Road, Tipperary"
22501,"Pinehurst, 33 Woodlands, Greystones"
22502,"Sonas, Westend  Main Street, Kilfinane"
22503,"Stradbally North, Clarinbridge"
22504,"Strandhill Road, Tully"
22505,"Thornberry, Kilcavan Lower  Tara Hill, Gorey"
22506,"Toberpatrick, Strokestown"
22507,"Townhouse 1, Blackthorn Bay Rd, Greenhills Rd  Wicklow"
22508,"Townview, Carnew, Arklow"
22509,"1 Booterstown Wood, Booterstown Avenue, Booterstown Co Dublin"
22510,"1 Cherry Villas (orse Cherry Place), Limerick"
22511,"1 DeValera Court, Nenagh"
22512,"1 Loch Luatha, Mount Temple, Moate"
22513,"1 Parkview Hall, Dublin Road"
22514,"1 Upper Panorama Terrace, Sunday's Well, Cork"
22515,"10 fernhill, ballina"
22516,"100 forest park, drogheda"
22517,"126 Cahercalla Estate, Ennis, Clare"
22518,"15 Giltspur Brook, Bray"
22519,"15 HAWTHORN PLACE, CLYBAUN ROAD, GALWAY"
22520,"18 Beechgrove, Kildare"
22521,"18 Parnell Cottages, Malahide"
22522,"18 The Drive, Athlumney Abbey, Navan"
22523,"18 The Drive, Athlumney, Navan"
22524,"18 Woodview Court, Stillorgan"
22525,"20 Claude Road, Drumcondra, Dublin 9"
22526,"22 The Rise, Lakepoint Park, Mullingar"
22527,"23 Kylemore Hill, Rathoe, Carlow"
22528,"24 Tramway Court, Sutton"
22529,"241 Greenpark Meadows, Mullingar"
22530,"28 Riverwood Heath, Carpenterstown, Castleknock"
22531,"3 Melville Close, Finglas, Dublin 11"
22532,"3 Mount Charles Terrace, Kilkee"
22533,"34 Mostrim Oaks, Tinnynar, Edgeworthstown"
22534,"35 Mostrim Oaks, Tinnynar, Edgeworthstown"
22535,"35 Stratton Walk, Adamstown Square"
22536,"36 Beaufield Manor, Woodlands Avenue, Stillorgan Road Stillorgan"
22537,"36 Mostrim Oaks, Tinnynar, Edgeworthstown"
22538,"37 Mostrim Oaks, Tinnynar, Edgeworthstown"
22539,"38 Mostrim Oaks, Tinnynar, Edgeworthstown"
22540,"39 Mostrim Oaks, Tinnynar, Edgeworthstown"
22541,"39 Seafield Road, Clontarf"
22542,"4 Tulach Ard, Rathdrum, Virginia"
22543,"41 LINNETSFIELD SQUARE, CLONEE"
22544,"42 Drummond Etra, Carrickmacross"
22545,"42 Woodlands, Ennis, Co. Clare"
22546,"43 Fan Glas, Kilmeaden"
22547,"43 Summerhaven, Summerhill, Carrick-on-Shannon"
22548,"45 Fan Glas, Kilmeaden"
