,Address
412500,"APT 54, WELLINGTON COURT, MOUNTJOY ST"
412501,"APT 6 BLOCK 4, MAIN ST, TULLAMORE"
412502,"APT 9 RICHMOND WAY, KILLARNEY ROAD, BRAY"
412503,"APT2 BLOCK 1, COLLEGE FARM RISE, COLLEGE FARM"
412504,"Apt.3 10 The Meadow, Robswall, Malahide"
412505,"BALLYGIBBA, KILMALLOCK, CO LIMERICK"
412506,"BALLYNEW, TURLOUGH, CASTLEBAR"
412507,"BRIDESWELL LITTLE, GOREY, COUNTY WEXFORD"
412508,"CAIRN COTTAGE, KNOCKERRA, KILRUSH"
412509,"CLONMORE NORTH, ARDMAYLE, CASHEL"
412510,"CUNNAMORE, CURRAHEEN RD, CARRIGROHANE"
412511,"DOHORA, BANOGUE, CROOM"
412512,"DROMORE, HAMILTON ROW, COURTMACSHERRY"
412513,"EAGLEHILL, ABBEY, LOUGHREA"
412514,"FLEMBY, BALLYMACELLIGOTT, TRALEE"
412515,"GLENLOUGH, ARDFOYLE CRESCENT, BALLINTEMPLE"
412516,"GORTNATRAW SOUTH, KERRYKEEL, CO DONEGAL"
412517,"HAMPTON, KILMACUD RD UPPER, DUNDRUM"
412518,"INISHMICATREER, CROSS, COUNTY GALWAY"
412519,"KILCREEVIN, BALLYMOTE, CO SLIGO"
412520,"KILEENREVAGH, SCARDUANE, CLAREMORRIS"
412521,"KILHEDGE LANE, CORDUFF, LUSK"
412522,"MAIN STREET, DONERAILLE, CO CORK"
412523,"No. 15 Braghan Point, Baltray"
412524,"PARKFIELD HOUSE, ROCKFIELD, TRALEE RD"
412525,"RIVERVIEW, DROMDOUGH, BALLINSPITTLE"
412526,"THE FAYTHE, TACUMSHANE, ROSSLARE HARBOUR"
412527,"TUREEN, BALLYDESMOND, MALLOW"
412528,"UNIT 34 THE CHARTER, SANTRY CROSS, BALLYMUN"
412529,"WOODFIELD, FERNDALE ROAD, RATHMICHAEL"
412530,"1- 73  APARTMENTS, HALLIDAY MILLS DEVELOPEMENT, QUAY STREET"
412531,"1 2 4 Coppering Heights, Ballybofey, Co Donegal"
412532,"1 BRIARFIELD, KILBARRACK ROAD, KILBARRACK"
412533,"1 CHURCH VIEW, BALLINROBE, MAYO"
412534,"1 CIRCLE HOUSE, TERENURE PLACE, TERENURE VILLAGE DUBLIN 6W"
412535,"1 Dun Eimear Avenue, Eastham Road, Bettystown"
412536,"1 DUNSOGHLY WAY, RATHOATH ROAD, FINGLAS"
412537,"1 MARTIN'S FLATS, THURLES RD, LITTLETON THURLES"
412538,"1 RATHBORNE WALK, RATHBORNE, ASHTOWN"
412539,"1 RIVER VIIEW, ABBEY STREET, TIPPERARY TOWN"
412540,"1 WILLOW COURT, CROSS DOUGLAS RD, DOUGLAS"
412541,"10 BALLINA RD, TUBBERCURRY, SLIGO"
412542,"10 OAK MANOR, BALLACOLLIG, MOUNTMELLICK"
412543,"10 STATION HOUSES, MATRAMANE, CASTLEGREGORY"
412544,"10 Summerseat Way, Clonee, County Meath"
412545,"10 THE LAWN, CLOVER MEADOWS, FERRYBANK"
412546,"11 BROOKHURST, CASTLEOAKS, DUBLIN ROAD"
412547,"11 CARA BAY, CULDAFF, DONEGAL"
412548,"11 MAGENTA MEWS, GRANGE MANOR, WATERFORD"
412549,"110 VERDEMONT, BLANCHARDSTOWN, DUBLIN 15"
412550,"12 ALANDALE ORCHARD, COURTBRAC, SOUTH CIRCULAR ROAD"
412551,"12 FRIARS WALK, DUNMORE, CO GALWAY"
412552,"12 STONEMASONS RD, LUSK, DUBLIN"
412553,"12 Walshestown Meadows, Athgarvan Road, Walshestown"
412554,"123 THE LINKS, DONABATE, SWORDS"
412555,"13 PAIRC NA MBLATH, BALLINROAD, DUNGARVAN"
412556,"13 TEMPLEVIEW CRESCENT, CLAREHALL, DUBLIN 13"
412557,"13 TOWERVIEW COTTAGES, FINGLAS RD, GLASNEVIN DUBLIN 11"
412558,"134 PHIBSBOROUGH RD, DUBLIN 7, DUBLIN"
412559,"136 Ardglass, Ballinglass"
412560,"14 AN MOINEAR, CUL ARD, CARRIGTWOHILL"
412561,"14 CUL NA GREINE, KILRANE, ROSSLARE"
412562,"14 PEMBROKE COURT, BURRIN ST, CARLOW"
412563,"144 SUTTON PARK, SUTTON, DUBLIN"
412564,"15 Abbey Square, Mungret Gate"
412565,"15 AN LOGAN, WESTERN DISTRIBUTOR RD, KNOCKNACARRA"
412566,"15 DUN EOIN MEADOWS, CARRIGALINE, CORK"
412567,"15 NEWCASTLE WOODS CRESCENT, ENFIELD, CO MEATH"
412568,"15 ST PETERS TERRACE, WALKINSTOWN, DUBLIN 12"
412569,"15 THE VIEW, BELGARD HEIGHTS, BELGARD RD DUBLIN 24"
412570,"15 WEDGEWOOD ESTATE, SANDYFORD ROAD, DUBLIN 16"
412571,"151 PARK DR AVE, CASTLEKNOCK, DUBLIN 15"
412572,"15A RIVERGROVE, ORANMORE, RIVERGROVE"
412573,"16 MANOR VIEW, ROXBOROUGH MANOR, MULGANNON"
412574,"16 Millquarter, Knockmullen, Gorey"
412575,"16 THE VILLAGE, NEWBRIDGE, KILDARE"
412576,"17 KILLINEY TOWERS, KILLINEY RD, KILLINEY"
412577,"17 MANOR VIEW, ROXBOROUGH MANOR, MULGANNON"
412578,"17 RIVERSIDE COURT, TUAM, GALWAY"
