,Address
105000,"BALLYHANNON SOUTH, QUIN, CLARE"
105001,"BLACK RD, SKEHEENARINKY, BURNCOURT"
105002,"BROWNSTOWN HOUSE, JOHNSWELL RD, KILKENNY"
105003,"BUNGALOW 2, HENRY ST, BAILIEBORO"
105004,"C9 CAHERMORE HOL VILLAGE, ENNISCRONE, CO SLIGO"
105005,"Church Villa, Dunmore East"
105006,"Classis, Pouladuff Road, Cork"
105007,"CLOUGHPRIOR, CARNEY, NENAGH"
105008,"CLOVER, TWO MILE BORRIS, THURLES"
105009,"COOLROE, FERNS, ENNISCORTHY"
105010,"COrbeg, Ballinahown, Athlone"
105011,"CUMMERSTOWN, COLLINSTOWN, CO. WESTMEATH"
105012,"GABLES, CAHORE, BALLYGARRETT"
105013,"GROVE VALE, 16 IONA ROAD, MAYFIELD"
105014,"GUBBS CROSS, SONNAGHMORE, CLOONE"
105015,"JOHN STREET, ARDEE, CO. LOUTH"
105016,"KEREIGHT, BALLYHOGUE, ENNISCORTHY"
105017,"KILLIN PARK GOLF CLUB, KILLIN, DUNDALK"
105018,"KNOCKADERRY, FARRANFORE, KERRY"
105019,"MAYTOWN, BALLYCOTTON, CO CORK"
105020,"MILL RD, KILLARNEY, KERRY"
105021,"SANDY LANE, KILMORE QUAY, WEXFORD"
105022,"The Studio, Errislanan, Clifden"
105023,"WEST COAST LODGE, STATION ROAD, LAHINCH"
105024,"1 CASTLEMARTIN GREEN, EASTHAM RD, BETTYSTOWN"
105025,"1 HOLLY COURT APT, BLOCK AI, BROOMFIELD"
105026,"10 BERRYFIELD COURT, ENNISKERRY, WICKLOW"
105027,"10 Bridgefield, Curaheen, Cork"
105028,"10 KINGSLAND PARADE, CIRCULAR RD SOUTH, DUBLIN 8"
105029,"105 GRACEDIEU RD, WATERFORD, WATERFORD"
105030,"109 MOURNE RD, DRIMNAGH, DUBLIN 12"
105031,"11 RYSTON GATE, ATHGARVAN RD, NEWBRIDGE"
105032,"12 BREFFNI COURT, CASTLE ST, ASHBOURNE"
105033,"12 GRANARY WHARF, GLENBROOK, CORK"
105034,"13 INBHIR IDE DR, MALAHIDE, DUBLIN"
105035,"134 MILLBROOK, JOHNSTOWN, NAVAN"
105036,"14 FERN HILL, BALLYDAVID, ATHENRY"
105037,"14 Rathbride Close, Kildare"
105038,"14 THE GREEN, HERONS WOOD, CARRIGALINE"
105039,"15 HOLLY COURT APTS, BLOCK AI, BROOMFIELD"
105040,"16 BARRYS PARK, GLANWORTH, CORK"
105041,"16 MAY ST, DRUMCONDRA, DUBLIN 3"
105042,"182 UPPER SALTHILL ROAD, SALTHILL, GALWAY"
105043,"19 CARRIEGEENDANIEL, CAHERSLEE, TRALEE"
105044,"2 Amber Court, Main Street, Bunclody"
105045,"2 BELFRY LAWN, THE BELFRY, CITYWEST DUBLIN 24"
105046,"2 Ramonaghan Lane, Kill, Dunfanaghy"
105047,"2 Red Arches Close, The Coast, Baldoyle"
105048,"2 ST PATRICIO, MARKET LANE, CLIFDEN"
105049,"20 BALLYCANEW COURT, GOREY, WEXFORD"
105050,"20 MOUNTAIN VIEW, DRUMSHANBO, LEITRIM"
105051,"23 MARIAN COVE, FOYNES, LIMERICK"
105052,"23 WINDMILL TCE, BLANCHARDSTOWN, DUBLIN 15"
