,Address
32500,"135 Oakleigh Wood, Dooradoyle"
32501,"135 Upper Mount Marion, Milford"
32502,"14 BELLEFIELD GARDENS, ENNIS ROAD, LIMERICK"
32503,"14 Caislean Cuirt, Thurles"
32504,"14a rochestown park, dunlaoghaire"
32505,"15 fortlawn park, blanchardstown, dublin 15"
32506,"15 Lapwing, Thornwood, Booterstown"
32507,"19 College Green, Ennis, Co Clare"
32508,"2 Harlech Downs, Goatstown"
32509,"21 Heron, Thornwood, Booterstown"
32510,"21 Silver Quay, Northgate Street, Athlone"
32511,"22 Heron, Thornwood, Booterstown"
32512,"23 Heron, Thornwood, Booterstown"
32513,"24 Heron, Thornwood, Booterstown"
32514,"25 Angler's Walk, Carlow"
32515,"25 Heron, thornwood, Booterstown"
32516,"27 Heron, Thornwood, Booterstown"
32517,"28 Heron, Thornwood, Booterstown"
32518,"29 Heron, Thornwood, Booterstown"
32519,"291 Old Greenfield Park, Maynooth, Co. Kildare"
32520,"3 Fancourt Heights, Balbriggan"
32521,"3 Laureston Grove, Tower, Blarney"
32522,"31 Heron, Thornwood, Booterstown"
32523,"32, BALLYOGAN LAWN, CARRICKMINES"
32524,"33 Heron, Thornwood, Booterstown"
32525,"34 heron, thornwood, Booterstown"
32526,"38 Heron, Thornwood, Booterstown"
32527,"4 Greenview, Riverway, South Douglas Road"
32528,"40 Turnstone, Thornwood, Booterstown"
32529,"45 Sanderling, Thornwood, Booterstown"
32530,"6  Riverside Villas, Kenmare"
32531,"65 Rothe Abbey, South Circular Road, Dublin 8"
32532,"69 The Dickens, The Gasworks, Barrow Street"
32533,"7 Wellmount Avenue, Finglas, Dublin 11"
32534,"8 Carricklawn, Coolcotts, Wexford"
32535,"8 Hazelwood Green, Hazelhatch Road, Celbridge"
32536,"88 Eltins Wood, Kinsale"
32537,"89 Westwood Road, Finglas"
32538,"Apartment 33 Rochdale, Honeypark, Dun Laoghaire"
32539,"Apartment 91, City Gate, Dublin 8"
32540,"Apartment No.4, Clarence Gate  Kilkenny Road, Carlow"
32541,"Apt 43 The Dickens, The Gasworks, Barrow Street"
