,Address
225000,"19 Elder Heath View, Elder Heath, Kiltipper Road"
225001,"2 Beverley, Donnybrook Hill, Douglas"
225002,"2 DOONBEIRNE, BALLINGARRY, LIMERICK"
225003,"2 GRANGE PARK CLOSE, RAHENY DUBLIN 5, DUBLIN"
225004,"2 LARKHILL RD, STRANDHILL RD, SLIGO"
225005,"2 MILLTOWN COURT, MILLTOWN RD, MILLTOWN DUBLIN 6"
225006,"2 WILLOW GROVE, DELGANY, WICKLOW"
225007,"21 EMMET RD, INCHICORE, DUBLIN 8"
225008,"21 LOWTOWNMANOR, ROBERTSTOWN, KILDARE"
225009,"218 CHARLESLAND COURT, GREYSTONES, CO WICKLOW"
225010,"22 ELDERWOOD AVE, BOREENMANNA RD, BALLINLOUGH"
225011,"22 MELESIAN GROVE, Swords, DUBLIN"
225012,"22A MOUNTWILLIAM CT, MONKSLAND, ATHLONE"
225013,"23 GLENAGEARY WOODS, DUN LAOGHAIRE, CO DUBLIN"
225014,"23 RED ARCHES DRIVE, THE COAST, BALDOYLE"
225015,"23 WATERMILL PARK, RAHENY, DUBLIN 5"
225016,"235 ST JOSEPHS AVE, DONEGAL, DONEGAL"
225017,"24 CATHAIR DANANN, NORTH CIRCULAR RD, TRALEE"
225018,"246 Beechpark, Leixlip"
225019,"25 CASTLE COURT, KILLINEY HILL RD, KILLINEY"
225020,"25 SLIABH MOR, CARNEY, SLIGO"
225021,"25 THE WATERFRONT, 5 7 HANOVER QUAY, DUBLIN 2"
225022,"25 Thorndale, Delgany, Wicklow"
225023,"26 HUNTSTOWN RISE, CLONSILLA, DUBLIN 15"
225024,"26624 HEATHER LANE, ESKER HILLS, PORTLAOISE"
225025,"27 BALLYCASEY CRESCENT, BALLYCASEY, SHANNON"
225026,"27 Grange Hill, Harolds Grange Road, Rathfarnham"
225027,"27 Hayfield, Straffan Road, Maynooth"
225028,"27 NORTHUMBERLAND PLACE, GRAND CANAL ST UPPER, BALLSBRIDGE"
225029,"27 OAKLANDS PARK, BALLYJAMESDUFF, COUNTY CAVAN"
225030,"28 PORTACARRON, BALLYMONEEN RD, KNOCKNACARRA"
225031,"285 WYCKHAM POINT, WYCKHAM WAY, DUNDRUM DUBLIN 16"
225032,"29 WEAVERS HALL, MARKET SQ, LONGFORD"
225033,"3 ARD LUA, BALLINA CO. TIPPERARY"
225034,"3 CORAGH VIEW, COOTEHILL, CAVAN"
225035,"3 HOMELEE, SERPENTINE PARK, BALLSBRIDGE DUBLIN 4"
225036,"3 MEADES TERRACE, DUBLIN 2, DUBLIN"
225037,"3 THE BUNGALOWS, YELLOW RD UPPER, WATERFORD"
225038,"3 THE COURT, BRENNANSTOWN VALE, BRENNANSTOWN RD DUBLIN 18"
225039,"3 THE COURT, MARTELLO VILLAGE, DROGHEDA"
225040,"3 The Green, Hazlebrook Square, Whitehall Road"
225041,"3 THE RISE, MOUNT MERRION, BLACKROCK"
225042,"3 TURNAPIN GROVE, CLOUGHRAN, DUBLIN 17"
225043,"3 WESTFIELD HOUSE, PATRICK ST, MULLINGAR"
225044,"30 AVE MARIA PARK, MOATE, WESTMEATH"
225045,"30 BEECHFIELD, MONALEEN, CASTLETROY"
225046,"30 CNOC CLUAIN, BALLINA, KILLALOE"
225047,"30 Drom Sli, Courtbrack, Blarney"
225048,"30 WOODLANDS HALL, RATOATH, CO MEATH"
225049,"31 DESERT COURT, ORMONDE ST, KILKENNY"
225050,"32 MUSIC HALL, COWS LANE, TEMPLE BAR DUBLIN 2"
225051,"33 CORKE ABBEY, BRAY, WICKLOW"
225052,"33 MAGDALENE ST, DROGHEDA, LOUTH"
225053,"33 PARKLANDS, ATHENRY, GALWAY"
225054,"33 THE GREEN, BEAUMONT WOODS, BEAUMONT DUBLIN 9"
225055,"34 ASHBROOK GROVE, ENNIS RD, LIMERICK"
225056,"34 BAILE AN TOOREEN, KILLORGLIN, KERRY"
225057,"34 CAME POINT, CASTLETOWNBERE, CORK"
225058,"35 Cloon Lara, Mullingar, Co. Westmeath"
225059,"35 MAUNSELLS RD, TAYLORS HILL RD, GALWAY"
225060,"35 PARK COURT GRANGERATH, DROGHEDA, LOUTH"
225061,"35 THE BROSNA, FRIARSMILL RD, MULLINGAR"
225062,"36 HAWTHORN AVE, KILLARNEY, KERRY"
225063,"36 MONASTERY TERRACE, MONASTERY HILL, BLARNEY ROAD"
225064,"37A WESTBOURNE GREEN, CLONDALKIN, DUBLIN 22"
225065,"38 CE NA MARA, NEW DOCK RD, GALWAY"
225066,"39 Lismore  Earlsfort, Blackrock"
225067,"39 WOODLANDS PARK, BLACKWOOD, COILL DUBH"
225068,"4 Aigean Croith, Tullaghan, County Leitrim"
225069,"4 AN LEACAIN, RING, WATERFORD"
225070,"4 COOGYULLA, DOOLIN, CLARE"
225071,"4 HAVELOCK TERRACE, SANDYMOUNT, DUBLIN 4"
225072,"4 Sea Haven, Greenhill Road, Wicklow"
225073,"4 ST PATRICKS TERRACE, TEMPLE ST, SLIGO"
225074,"4 THE GRENLUTTERELL, DUNBOYNE, MEATH"
225075,"40 BARRYMORE AVE, COBH, CORK"
225076,"40 BRIARWOOD LAWN, MULHUDDART, DUBLIN 15"
225077,"41 KINDLESTOWN PARK, GREYSTONES, WICKLOW"
225078,"42 Fern Grove, Carrigaline"
225079,"42 THE CASINO, DUBLIN RD, MALAHIDE"
