,Address
300000,"35 WHITEHALL SQ, QUARRY DR, PERRYSTOWN DUBLIN 12"
300001,"35 WOODVIEW DR, MALLOW, CORK"
300002,"36 CARRIGEEN, ANNACOTTY, CO LIMERICK"
300003,"37 THE GREEN, LAKEPOINT PARK, MULLINGAR"
300004,"39 CASCADE PARK, OLD BRIDGE, CLONMEL"
300005,"39 Sycamore House, Silverbanks, The Coast"
300006,"4 ASTNA STREET, CLONAKILTY, COUNTY CORK"
300007,"4 SEVILLE TERRACE, NORTH STRAND RD, DUBLIN CITY"
300008,"4 VICTORIA VILLAGE, FARRANLEA RD, CORK"
300009,"40 Orwell Gate, Marianella"
300010,"42 CORRIG GLEN, STATION RD, PORTARLINGTON"
300011,"43 Churchfields Park, Churchfields, Ashbourne"
300012,"455 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8"
300013,"46  Carton Grove, Maynooth"
300014,"46 DERAVARRA, DELVIN RD, MULLINGAR"
300015,"48 Woodview, Fionn Laoi, Poulavone"
300016,"49 NEW ORCHARD, OLD GOLF LINKS RD, KILKENNY"
300017,"5 CLONLARA VILLAGE, CLONLARA, CLARE"
300018,"5 HARMONY AVE, DONNYBROOK, DUBLIN 4"
300019,"51 CHURCHWELL RD, BELMAYNE, BALGRIFFIN DUBLIN 13"
300020,"51 PARKFIELD, NEW ROSS, WEXFORD"
300021,"52 RIVERVALE CRESCENT, DUNLEER, LOUTH"
300022,"53 LISSADEL DR, DRIMNAGH, DUBLIN 12"
300023,"54 PORTOBELLO HARBOUR, GROVE RD, DUBLIN 6"
300024,"55 ASPEN GARDENS, 57 PATRICKS RD, LIMERICK"
300025,"55 The Avenue, Hansfield, Dublin 15"
300026,"6 ABHAINN RUIBHE, CAMP ST, OUGHTERARD"
300027,"6 ARAS AN GABHAINN, COLBERT STREET, LISTOWEL"
300028,"6 BISHOPS ORCHARD, TYRRELSTOWN, DUBLIN 15"
300029,"6 CEDARWOOD RISE, GLASNEVIN, DUBLIN 11"
300030,"6 WHITEROCK CRESCENT, WHITEBROOK, PEMBROKESTOWN"
