,Address
240000,"16 THE SPIRES, WESTPORT RD, CLIFDEN"
240001,"17 CAISLEAN CUIRT, TULLOW RD, CARLOW"
240002,"17 CARRAIG MOR, LACKAGH, CO GALWAY"
240003,"175 CHURCHFIFLDS, ASHBOURNE, MEATH"
240004,"18 Ashfield Avenue, Ridgewood, Swords"
240005,"18 Barnwell Crescent, Hansfield, Barnwell"
240006,"18 BOROIMHE HAWTHORNS, SWORDS, DUBLIN"
240007,"18 CHANCERY PARK DR, CLONCOLLIG, TULLAMORE"
240008,"18 DORRINS STRAND, THE BRIDGE, STRANDHILL"
240009,"18 GARDEN VILLAGE CRESCENT, KILPEDDER, WICKLOW"
240010,"18 Railway View, Belturbet"
240011,"18 The Lawn, Hansfield Wood, Hansfield"
240012,"18 THE TURLINGS, LOUISBURGH, WESTPORT"
240013,"19 BISHOPS PARK, WEXFORD, WEXFORD"
240014,"19 LOIS NA MARA, LAHINCH, CO CLARE"
240015,"19 TEMPLE HALL, MOUNT SAINT ANNES, MILLTOWN"
240016,"19 Usher Park, Knocksedan Demesne, Swords"
240017,"194 THE SWEEPSTAKES, BALLSBRIDGE, DUBLIN 4"
240018,"19A THE AVENUE, PEMBROKE WOOD, PASSAGE WEST"
240019,"1A SEAMOUNT VIEW, SWORDS, DUBLIN"
240020,"2 Barley Field, Wicklow Hills, Newtownmountkennedy"
240021,"2 BEECHLAWN HEIGHTS, BEECHLAWN, BALLINALSOE"
240022,"2 CONGREVE HOUSE, WILLIAM ST, WATERFORD"
240023,"2 CRESTON CLOSE, EARLSCOURT, WATERFORD"
240024,"2 CYPRESS RD, MOUNT MERRION, DUBLIN"
240025,"2 MANOR DR, MANOR VILLAGE, TRALEE"
240026,"2 MOUNTAIN VILLA, CHURCH RD, KILLINEY"
240027,"2 RECTORY COURT, RAMPART LANE, KINSALE"
240028,"2 Stillorgan Gate, Upper Kilmacud Road, Stillorgan"
240029,"21 COURTYARD, SUMMERHILL TERRACE, WATERFORD"
240030,"21 ELLENSBOROUGH DOWNS, KILTIPPER RD, TALLAGHT DUBLIN 24"
240031,"21 NEWHAVEN AVE, BALBRIGGAN, DUBLIN"
240032,"22 HUGHES RD SOUTH, WALKINSTOWN, DUBLIN 12"
240033,"23 ST JOHNS, PARK AVE, SANDYMOUNT DUBLIN 4"
240034,"236 BEECHDALE, DUNBOYNE, MEATH"
240035,"24B CRANMER LANE, BALLSBRIDGE, DUBLIN 4"
240036,"26 DodderBrook Park, DodderBrook, Oldcourt Road"
240037,"26 SUMMERHILL VILLAGE, SLIGO, CO. SLIGO"
240038,"27 Dodder Brook Park, Dodder Brook, Oldcourt Road  Ballycullen"
240039,"27 STOCKING WOOD MANOR, STOCKING AVENUE, RATHFARNHAM"
240040,"28 hOLLYWOODRATH CRESCENT, Hollystown, Dublin 15"
240041,"28 THE SPIRES, DONABATE, DUBLIN"
240042,"28 WOODFOD PARADE, CLONDALKIN, DUBLIN 22"
240043,"29 BALLYHOOLEY ROAD, CORK, COUNTY CORK"
240044,"29 KELLY'S BAY STRAND, SKERRIES, CO DUBLIN"
240045,"2A FITZHAVEN SQ, SOUTH CIRCULAR RD, LIMERICK"
240046,"3 ARD EVAN VIEW, MONASTEREVIN, COUNTY KILDARE"
240047,"3 CLONES RD, NEWBLISS, MONAGHAN"
240048,"3 EMMET COURT, MALLOW, CO CORK"
240049,"3 MERVIEW, COBH, CORK"
240050,"30 GRAND CANAL ST UPPER, DUBLIN 4, DUBLIN"
240051,"30 GROVE RD, GLASNEVIN, DUBLIN 11"
240052,"30 MERVUE LAWN, BALLYVOLANE, CORK"
240053,"309 BRIDGEWATER HOUSE, OLD WATERFORD RD, CLONMEL"
240054,"31 AMBERVALE, COOKSTOWN, TALLAGHT DUBLIN 24"
240055,"31 GLEANN NA RI, MURROUGH, RENMORE"
240056,"31 Hollywoodrath Crescent, Hollystown, Dublin 15"
240057,"315 BLARNEY ST, CORK"
240058,"32 CHAPEL GATE, BALBRIGGAN, DUBLIN"
240059,"32 foxhollow, golf links road, castletroy"
240060,"32 KEW PARK, LUCAN, DUBLIN"
240061,"32 NEW HOUSES, TYHOLLAND, CO MONAGHAN"
240062,"32 Ryebridge Green, ryebridge, kilcock"
240063,"33 PARNELL RD, HAROLDS CROSS, DUBLIN 12"
240064,"34 BARTON RD EAST, CHURCHTOWN, DUBLIN 14"
240065,"34 CARRIGMORE GREEN, SAGGART, CO DUBLIN"
240066,"34 PARKLANDS, CAHEROYN RD, ATHENRY"
240067,"34 THE HARBOUR, MARKET POINT, MULLINGAR"
240068,"34 WATERSIDE DRIVE, WATERSIDE  SWORDS ROAD, MALAHIDE"
240069,"37 GALTYMORE DR, DRIMNAGH, DUBLIN 12"
240070,"37 SPOLLANSTOWN WOOD, TULLAMORE, OFFALY"
240071,"38 ARDMANNING AVENUE, THE LOUGH, CORK"
240072,"38 CHESTNUT GROVE, BEAUFORT PLACE, NAVAN"
240073,"38 GINGERSTOWN PARK, CARAGH, NAAS"
240074,"38 GRANVILLE PARK, BLACKROCK, DUBLIN"
240075,"38 RAHANINE MANOR, ROCHFORTBRIDGE, WESTMEATH"
240076,"39 CRANN ARD, FETHARD RD, CLONMEL"
240077,"39 THE ORCHARDS, TULLOW RD, CARLOW"
240078,"3A BESTFIELD ATHY RD, CARLOW"
240079,"4 ABBEYFIELD, MILLTOWN, DUBLIN 6"
240080,"4 BARRACK ST, WEXFORD."
240081,"4 CASTLE ROCK, ENNIS, CO CLARE"
240082,"4 COOLCORMUCK VALLEY, CARRIGLEA, DUNGARVAN"
240083,"4 Glenmore Heights, Knockraha"
240084,"4 MULLINS WING, LINDEN, GROVE AVE"
240085,"4 OAKWOOD RD, FINGLAS, DUBLIN 11"
240086,"4 The Park, Drummin Village, Nenagh"
240087,"4 WOODSTOCK, COLDROSS LANE, KILCOOLE"
240088,"40 STRAFFAN GROVE, STRAFFAN WOODS, MAYNOOTH"
