,Address
47500,"172 Pace View, Littlepace Paddocks, Clonee"
47501,"189 Meadowview, Drogheda"
47502,"19 Monastery Grove, Enniskerry"
47503,"2 The Bungalows, Pearse Park, Dundalk"
47504,"226 South Circular Road formerly, 96 Donore Terrace  City of Dublin"
47505,"23 ELM PARK, TRAMORE, CO. WATERFORD"
47506,"23 Park Road, Navan Road, Dublin 7"
47507,"24 ELM PARK, TRAMORE, CO. WATERFORD"
47508,"24 Glenview Road, Wicklow"
47509,"256 Griffith Avenue, Drumcondra"
47510,"27 Market Street, Dundalk"
47511,"28 The Seasons, Carrigaline, Co. Cork"
47512,"3 Kiltipper avenue, tallaght"
47513,"31 The Hermitage, Abbeyside, Dungarvan"
47514,"32 The VIllas, Adare Manor, Adare"
47515,"32C High Street, Cork"
47516,"36 Allen Park Road, Stillorgan"
47517,"36B DUN RI, ATHENRY"
47518,"37  Alderwood, Hollystown"
47519,"37 Brandon Road, Drimnagh, Dublin 12"
47520,"37 Cois Inbhir, Donabate"
47521,"38 CHARLESTON ROAD, DUBLIN 6"
47522,"4 Deerpark, Calverstown"
47523,"401 Casement Park, Finglas, Dublin 11"
47524,"41  Ardmoneel Heights, Killorgoin"
47525,"48 Iona Villas, Glasnevin"
47526,"5 Claddagh Green, Ballyfermot"
47527,"5 St Mary's Terrace, Cavan"
47528,"53 MARY STREET, LIMERICK"
47529,"56 Butterstream Manor, Trim"
47530,"61 St. Attracta Road, Cabra"
47531,"636 Howth Road, Raheny"
47532,"64 Childers Park, Thurles"
47533,"7 Oaklawn, Pearse Road, Sligo"
47534,"7 SINGLAND CRESCENT, GARRYOWEN, LIMERICK"
47535,"78 Ard na Greine, Clonmel, Tipperary South"
47536,"83 Ashleigh Grove, Knocknacarra"
47537,"9 Bruach na hAbhainn, Spiddal Village, Spiddal"
47538,"91 Boyne View, Johnstown, Navan"
47539,"Apt 613 The Cubes, Beacon South Quarter, Sandyford"
47540,"Apt.17 Seagrave, The Links, Portmarnock"
47541,"Ardmullen, Kiitoom, Athlone"
47542,"Ballygoman, Barntown"
47543,"Ballymurray, Roscommon"
47544,"Bomany, Letterkenny"
47545,"Brookville House, Brookville Park, Ballyboggan"
47546,"Brookville, Ballyboggan"
47547,"Camas, Newcastlewest"
47548,"dwellinghouse at shea's lane, inistioge"
47549,"GORTNAMONA, BALLINGEARY"
47550,"Hillview Lodge, Redgap, Rathcoole"
47551,"Iona, Landscape Park, Pouladuff Road"
47552,"Lands at Goatstown Road, Goatstown, Dublin"
47553,"Mossfort, Caherlistrane"
47554,"mount hazel, lisloughlin, co galway"
47555,"No. 15 View, Carrickmines Manor"
47556,"No. 16 The View, Carrickmines Manor"
47557,"No. 37, Assumption Place, Kilkenny"
47558,"Park View House, Knockawaddra, Tralee"
47559,"Skryne Road, Garlow Cross, Navan"
47560,"Telegraph Cottage, Ballykevin, Ballingarry"
47561,"Thornhill House, Cherry Garth, Mount Merrion"
