,Address
405000,"GLENEELY COTTAGE, KILLYGORDON, CO DONEGAL"
405001,"GLENMORE COTTAGE, GLENMORE, BALLYBOFEY"
405002,"HARBOUR VIEW, GREENMOUNT RD, BALLYDEHOB"
405003,"KILBARRY, BISHOPSTOWN RD, CORK"
405004,"KILCLOHER, KILMALEY, ENNIS"
405005,"KILLAGHBEG, KILCONNELL, BALLINASLOE"
405006,"KNOCKBRACK, CLONLARA, CLARE"
405007,"KNOCKROE, MAGANEY, KILDARE"
405008,"KNOCKYEALA, SCARTAGLEN, KERRY"
405009,"LAKE HOUSE, MOATE, WESTMEATH"
405010,"LICKEEN, ENNISTYMON, CO CLARE"
405011,"LILAC HOUSE SPA ST, PORTARLINGTON, LAOIS"
405012,"LODGE 2 - CORNDARRAGH, FOREST PARK, BELTURBET"
405013,"MAIN STREET, CASTLETOWNSHEND, CO CORK"
405014,"MOATTOWN, KILDALKEY, NAVAN"
405015,"MOLLOUGH, NEWTOWN, NEWCASTLE"
405016,"MONALEE, BALLINDANGAN, ENNISCORTHY"
405017,"MULLAGHBOY, KILNALECK, CO. CAVAN"
405018,"MULLIGANSTOWN, DELVIN, WESTMEATH"
405019,"NEW ROAD, DONABATE, CO DUBLIN"
405020,"NEWTOWN, MULLINGAR, CO WESTMEATH"
405021,"No 12 Pound Street Cottages, Birr, County Offaly"
405022,"Numbers 1 and 69 Mountjoy  Square, and number 2 Mountjoy Square"
405023,"ORANBEG, OLD DUBLIN ROAD, ORANMORE"
405024,"POLLNABINNA HOUSE, GORTJORDAN, SHRULE"
405025,"POLLRANKIN HOUSE, POLLRANKIN, TAGOAT"
405026,"PONDFIELDS, NEW ROSS, WEXFORD"
405027,"POULACAPPLE WEST, MULLINAHONE, TIPPERARY"
405028,"Property known as 17 Church Street, comprising 2 ground floor offices, and 3 apartments  Dundalk"
405029,"RATHEA, LISTOWEL, KERRY"
405030,"ROBIN HILL, KILGAREY, (KILQUEENY) AVOCA"
405031,"ROWAN LODGE, KNOCKBRIDE, BAILIEBOROUGH"
405032,"STREAMHILL, DONERAILE, CORK"
405033,"T A GOLDENS, MAIN STREET, MANORHAMILTON"
405034,"TARA LODGE, GANNONS VALLEY, GOREY"
405035,"TERMON, GORT, CO. GALWAY"
405036,"THE ANCHORAGE, DROMARD, SLIGO"
405037,"THE BUNGALOW, MAIN STREET, CROOM"
405038,"THE COTTAGE, DOOLOUGH, MULLAGH"
405039,"THE OLD TRAIN HOUSE, STATION RD, BALLYHOOLY"
405040,"TWEDMOUNT COTTAGE, MONARD, BLARNEY"
405041,"Unit 1 Mill Gate, Millerstown, Maynooth Road"
405042,"Unit Nos. 1 - 14 (incl.) Glenview, Dublin Road, Dundalk"
405043,"WESTERN VILLAS, WESTERN RD, CLONAKILTY"
405044,"WINDRUSH, 17 GIRROGA HEIGHTS, GORT RD"
405045,"WINTERDOWN HOUSE, TIMAHOE EAST, DONADEA"
405046,"115 COIS ABHANN, CAHERWISHEEN, TRALEE"
405047,"39 ELMFIELD WAY, CLAREHALL, DUBLIN 13"
405048,"BALLINVALLEY, GOWRAN, CO KILKENNY"
405049,"12 MILLBROOK COURT MILL RD, MIDLETON, CORK"
405050,"13 CHURCH ST, LISMORE, WATERFORD"
405051,"No 19  The Mews, Heathfield, Carriganarra"
405052,"1 BARRACK LANE, RUSH, DUBLIN"
405053,"1 BROOMHALL COURT, RATHNEW, WICKLOW"
405054,"1 CHURCHYARD LANE, BALLINTEMPLE, CORK"
405055,"1 Cluain Adain Lawn, Clonmagadden, Navan"
405056,"1 Edenbrook Close, Edenbrook, Citywest"
405057,"1 GLENBEG DRIVE, THE BEECHES, BOHERBUE"
405058,"1 GLENDALE, MAYFIELD, CLAREMORRIS"
405059,"1 Lyreen Glen, Mariavilla, Maynooth"
405060,"1 OLD FOREST, RYLAND UPPER, BUNCLODY"
405061,"1 PEMBROKE HOUSE, ABBEY ST, WEXFORD"
405062,"1 RUXTON COURT, DOMINICK STREET, GALWAY"
405063,"1 THE MEWS RAFER COURT, GEORGES QUAY, CREAGH LANE"
405064,"1 VIRGINIA PARK, CARDIFFSBRIDGE RD, FINGLAS DUBLIN 11"
405065,"10 GLENBEG DRIVE, THE BEECHES, BOHERBUE"
405066,"10 OLD HEAD VIEW, KINSALE MANOR, RATHBEG  KINSALE"
405067,"10 THE DOWNS, POLLERTON, CARLOW TOWN"
405068,"10 THE LAURELS, BUTTERFIELD AVE, RATHFARNHAM DUBLIN 14"
405069,"10 Walshestown Meadows, Athgarvan"
405070,"100 INIS MOR, FR RUSSELL RD, DOORADOYLE"
405071,"101 GRIFFITH ROAD, FINGLAS EAST, DUBLIN 11"
405072,"102 BOIREANN BHEAG, ROSCAM, GALWAY"
405073,"104 CRANN ARD, FETHARD RD, CLONMEL"
405074,"107 THE CEDARS, CARRINGTON, NORTHWOOD DUBLIN 9"
405075,"109 FOXLODGE MANOR, RATOATH, MEATH"
405076,"11 CEDAR ROW, ROPE WALK, BLACKROCK"
405077,"11 Edenbrook Close, Edenbrook Citywest, Dublin 24"
405078,"11 Glencree, Newport"
405079,"11 Lyreen Lawn, Mariavilla, Maynooth"
405080,"11 WHITETHORN GROVE, KILL, CO KILDARE"
405081,"111 CLOVER HILL, BRAY, WICKLOW"
405082,"115 CARRIG COURT, SAGGART, DUBLIN"
405083,"118 GORT NA COIRIBE, HEADFORD RD, GALWAY"
405084,"118 Longstone, Naas"
405085,"12 ABBEY GLEN, CAPPOQUIN, WATERFORD"
405086,"12 ANDREW ST, WATERFORD, WATERFORD"
405087,"12 ANNALY TERRACE, ONGAR PARK, CLONSILLA DUBLIN 15"
405088,"12 KILBARRACK AVE, RAHENY, DUBLIN 5"
405089,"12 LINTOWN CRESCENT, JOHNSWELL RD, KILKENNY"
405090,"12 Lyreen Close, Mariavilla, Maynooth"
405091,"12 THE VALE, HOPHILL, OFFALY"
405092,"12 THE WALK, ROBSWALLS, MALAHIDE"
405093,"120 Longstone, Naas"
405094,"125 CHARLESLAND PARK, GREYSTONES, WICKLOW"
405095,"13 BELARMINE WAY, STEPASIDE, DUBLIN"
405096,"13 CALDER HOUSE, PADDY BROWNES RD, WATERFORD"
405097,"13 EATON GREEN, RATHCOOLE, CO DUBLIN"
405098,"13 KYLEFEA, CROOM, CO LIMERICK"
405099,"13 PRIMROSE VILLAGE, CELBRIDGE, KILDARE"
405100,"13 RADCLIFFE HALL, ST JOHNS RD, SANDYMOUNT DUBLIN 4"
405101,"13 THE MANOR, EDENDERRY, OFFALY"
405102,"133 Ardmore Hills, Mullingar"
405103,"136 DUN NA COIRIBE, HEADFORD RD, GALWAY"
405104,"136 REDFORD PARK, GREYSTONES, CO WICKLOW"
405105,"14 APRIL DRIVE, LODGEWOOD, KENMARE"
405106,"14 BANNON TERRACE, LONGFORD, LONGFORD"
405107,"14 HOLLY PARK, BAY ESTATE, DUNDALK"
405108,"14 KINCORA DR, CLONTARF, DUBLIN 3"
405109,"14 LITTLE BARRACK STREET, TULLOW, CO CARLOW"
405110,"14 NORTH KING ST, APT 1, DUBLIN 7"
405111,"14 OLD WINDMILL COURT, LIMERICK, LIMERICK"
405112,"14 PARK CRESCENT, KIMMAGE, DUBLIN 12"
405113,"14 ST BRIDGETS TCE, ARKLOW, WICKLOW"
405114,"14 THE MEWS, RUSHBROOK LINKS, COBH"
405115,"142 CAIRN WOODS, BALLYVINITER, MALLOW"
405116,"145 NEW HAVEN BAY, BALBRIGGAN, DUBLIN"
405117,"145 THE CRESCENT BUILDING, PARK WEST POINTE, DUBLIN 12"
405118,"15 BROOKDALE, OLD BAWN, TALLAGHT"
405119,"15 EDENBOOK LAWN, GLYNTOWN, GLANMIRE"
405120,"15 Oak Park Avenue, Oak Park, Naas"
405121,"15 Shackleton Grange, Shackleton Park, Lucan"
405122,"15 The Towers, Point Road, Dundalk"
405123,"15 WILLANS WAY, ONGAR VILLAGE, CLONEE DUBLIN 15"
405124,"153 GLENDALE MEADOWS, LEIXLIP, KILDARE"
405125,"158 RATHBORNE COURT, ASHTOWN, DUBLIN 15"
405126,"15A BUSHES LANE, RATHGAR, DUBLIN 6"
405127,"15, Lyreen Place, Mariavilla"
405128,"16 BUNBURYGATE AVE, SWORDS, DUBLIN"
405129,"16 Carlinn Gardens, Mullarlin Road, Dundalk"
405130,"16 DEALG BAN, LADYSBRIDGE, CO. CORK"
405131,"16 DUN UISCE, CAHIR, TIPPERARY"
405132,"16 MARKET SQ, PORTLAW, WATERFORD"
405133,"16 NEWBERRY CLOSE, EDENDERRY, OFFALY"
405134,"16 SHACKLETON COURT, FORTBARRINGTON RD, ATHY"
405135,"16 UPPER ST COLUMBAS RD, DRUMCONDRA, DUBLIN 9"
405136,"164 ACHA BHILE, LAHINCH ROAD, ENNIS"
405137,"17 CRESCENT AVENUE, FRIARY WALK, CALLAN"
405138,"17 FORT OSTMAN, OLD CO GLEN, CRUMLIN"
405139,"18 BOTLEY COURT, PORTARLINGTON, OFFALY"
405140,"18 Donore, Earlsfort, Seafield Road"
405141,"18 HERITAGE CLOSE, ENNIS RD, LIMERICK"
405142,"18 LOHUNDA DOWNS, CLONSILLA, DUBLIN 15"
405143,"18 LONGWOOD PARK, RATHFARNHAM, DUBLIN 14"
405144,"18 Ros na Greine, Ardfinnan, Clonmel"
