,Address
250000,"2 Seagreen Avenue, Greystones"
250001,"2 STACKS VILLAS BUNGALOWS, TRALEE, COUNTY KERRY"
250002,"2 WOODLEIGH PARK, BLESSINGTON, WICKLOW"
250003,"20 ASTER LAWN, ABBEY FORT, KINSALE"
250004,"20 Atkinson Drive, Belmont, Aikens Village"
250005,"20 THE COURT, LIFFEY HALL, NEWBRIDGE"
250006,"205 SUNDRIVE RD, CRUMLIN, DUBLIN 12"
250007,"21 Abbots Grove Avenue, Abbots Grove, Knocklyon"
250008,"21 Aughamore, Kilcock Road, Clane"
250009,"21 WHITETHORN GROVE, KNOCKBROGAN, BANDON"
250010,"22 Ashfield Avenue, Ridgewood, Swords"
250011,"22 Atkinson Drive, Belmont, Aiken's Village"
250012,"22 LAVENDER COURT, FOREST HILL, KILNAGLEARY  CARRIGALINE"
250013,"22 OLIVER PLUNKETT ST, BANDON, CORK"
250014,"22 WESTWINDS, KILRANE, CO. WEXFORD"
250015,"23 Ashfield Avenue, Forrest Road, Ridgewood"
250016,"23 GROVE ST, CRINKLE, CO. OFFALY"
250017,"23 KYLEBROOK, ABBEYLEIX RD, PORTLAOISE"
250018,"23 MILLMOUNT GROVE, DUNDRUM RD, DUBLIN 16"
250019,"23 RIVERBANK, NORTH MAIN STREET, BANDON"
250020,"23C CHURCH COURT, CRADDOCKSTOWN ROAD, NAAS"
250021,"24 BEVERTON GREEN, DONABATE, DUBLIN"
250022,"24 Fairhaven Road, Castleknock Road, Castleknock"
250023,"24 OAK RD, CONNELL DR, NEWBRIDGE"
250024,"24 SCARLET ST, DROGHEDA, LOUTH"
250025,"24 THE HAWTHORNS, SKIBBEREEN, CO CORK"
250026,"244 CHERRYWOOD LAWN, DUBLIN 22, DUBLIN"
250027,"24A MEADOWBROOK, MOUNTAIN ROAD, TUBBERCURRY"
250028,"25 Ferns Close, Ferns Bridge, Monasterevin"
250029,"25 MANOR GROVE, MOUNTMELLICK, LAOIS"
250030,"26 DUNDRUM GATE, BALLINTEER RD, DUNDRUM DUBLIN 14"
250031,"26 GREENMOUNT PARK, GREEN RD, NEWBRIDGE"
250032,"26 HIGGINSTOWN WOODS, GRANARD, LONGFORD"
250033,"26 LOUGH VIEW, BUNCRANNA, COUNTY DONEGAL"
250034,"26 TONLEGEE RD, COOLOCK, DUBLIN 5"
250035,"261 OLDBRIDGE STATION, OSBERSTOWN, NAAS"
250036,"27 CELTIC PARK AVE, WHITEHALL, DUBLIN 9"
250037,"27 ST JOSEPHS TERRACE, MELL, LOUTH"
250038,"27 the lawn, hansfield, hansfield wood"
250039,"28 MARLBOROUGH RD, DONNYBROOK, DUBLIN 4"
250040,"28 WOLVERTON GLEN, DALKEY, DUBLIN"
250041,"3 Bramble Drive, Foxwood"
250042,"3 HILLVIEW, CREGGAUN NA HILLA, CLARECASTLE"
250043,"3 NORTH MAIN STREET, YOUGHAL, CO CORK"
250044,"3 ROSHINE, DUNFANAGHY, LETTERKENNY"
250045,"3 TURNAPIN COTTAGES, CLOGHRAN, DUBLIN 17"
250046,"3 Waterside, Knockateemore s, Dungarvan"
250047,"30 DAVITT ST, TIPPERARY, CO TIPPERARY"
250048,"30 SWIFT HALL, COLLEGEWOOD, CASTLEKNOCK"
250049,"30 Thorndale, Delgany"
250050,"32 THE CLAYTON, THE GASWORKS, BARROW ST"
250051,"32 VILLAGE SQ, GLASLOUGH, MONAGHAN"
250052,"32 Wilkins View, Templemanor Drive, Walkinstown"
250053,"33 FEARANN RI, DOUGHISKA, GALWAY"
250054,"33 IVY COURT, BROOMFILED, MIDLETON"
250055,"34 CASTLEBROOK, CONNA, MALLOW"
250056,"34 Cois Farraige, Blackrock"
250057,"35 LISMEEN HILLS, BALLYJAMESDUFF, CAVAN"
250058,"37 Steeplechase Hill, Ratoath, County Meath"
250059,"38 RIVERCOURT RATHMULLAN RD, DROGHEDA, LOUTH"
250060,"39 Ard Thomain, Sli na Manach, Mungret"
250061,"39 BELMONT GREEN, WALSHESTOWN CROSS, NEWBRIDGE"
250062,"39 FOREST VIEW, WHEATON HALL, DROGHEDA"
250063,"4 BEACH COURT, KILCOOLE, WICKLOW"
250064,"4 ESKE TERRACE, CASTLE ST, DONEGAL"
250065,"4 GLENOUGHTY CLOSE, LETTERKENNY, DONEGAL"
250066,"4 Parkside Square, Malahide Road, Balgriffin"
250067,"4 SINGLAND MEADOWS, OLD BLOODMILL ROAD, SINGLAND"
250068,"4 THE BEECHES, GRANARY COURT, EDENDERRY"
250069,"4 THE CLOSE, INSE BAY, LAYTOWN"
250070,"4 WALKINSTOWN MEWS, WALKINSTOWN CLOSE, DUBLIN 12"
250071,"40 BOROIMHE BLACKTHORN, BLACKTHORN, SWORDS"
250072,"41 ASHE STREET, CLONAKILTY, CO. CORK"
250073,"41 BALRUDDERY WOOD, BALROTHERY, DUBLIN"
250074,"41 BEECHDALE, DUNBOYNE, MEATH"
250075,"41 CLOONLARA SQ, THE PHOENIX PARK RACECOURSE, DUBLIN 15"
250076,"41 FORTESCUE LANE, MOUNTPLEASANT AVE LOWER, DUBLIN 6"
250077,"416 GRACEPARK MANOR, SWORDS RD, DRUMCONDRA DUBLIN 9"
250078,"43 BAYSIDE BOULEVARD SOUTH, SUTTON, DUBLIN 13"
250079,"43 Roseland Avenue, Cualanor  Upper Glenageary Road, Dun Laoghaire"
250080,"45 FARRANLEA PARK, MODEL FARM ROAD, CORK"
250081,"45 FOREST WALK, RIVERVALLEY, SWORDS"
250082,"47 BALLYVAREEN, KILDIMO, LIMERICK"
250083,"48 GRANGE ERIN, DOUGLAS, CORK"
250084,"49 CALEDON RD, EAST WALL, DUBLIN 3"
250085,"5 LAKEVIEW, ROSTELLAN, MIDLETON"
250086,"5 MILLBROOK, KINLOUGH, LEITRIM"
