,Address
75000,"40 Summerhaven, Summerhill, Carrick on Shannon"
75001,"41 Bancroft Park, Tallaght, Dublin 24"
75002,"41 Beech House  Carrickmines Green, Glenamuck Road, Carrickmines"
75003,"41 The Hamlet, Deomiskin, dUNDALK"
75004,"42 Maulbaun, Passage West"
75005,"43 Russell Court, Fr Russell Road"
75006,"5 Cherry Orchard Park, Ballyfermot"
75007,"5 Rehoboth Court, 36/37 Rehoboth Place, Dolphins Barn"
75008,"5 Riverside Villas, Dromneavane, Kenmare"
75009,"5 The Lookout, Harbour Bay, Dungarvan"
75010,"5 Wellpark, Galway"
75011,"53 Glenlara, Swellan"
75012,"56 Baile an Toreen, Killorglin"
75013,"57 Chapelgate, Kilmacow"
75014,"6 An Uillinn, Moycullen"
75015,"6 Castlecourt, Newtownforbes"
75016,"6 Church View, Church Avenue, Drumcondra"
75017,"6 Seabreeze Heights, Clonakilty"
75018,"6 THE CRESCENT, BALLISODARE, SLIGO"
75019,"642, Rosetown, Athy"
75020,"66 BOICE COURT, MELL, DROGHEDA"
75021,"68 Brabazon Links, Bettystown"
75022,"7 Cecil Street, Limerick"
75023,"7 knightsbridge mews, longwood road, trim"
75024,"8 Beechside Avenue, Riverchapel, Gorey"
75025,"8 Castletimon Avenue, Coolock, Dublin 5"
75026,"8 Courthouse Road, Listowel"
75027,"8 St.Joseph's Terrace, Urlingford"
75028,"86 The Oaks, Ridgewood, Swords"
75029,"91 Alexandra Walk, Clane"
75030,"91 Edgewood Lawn, Blanchardstown"
75031,"Apartment No.7, Phoenix House, Main Street  Boyle"
75032,"Apartments 1-80 The Laurel, Balinteer Road, Dundrum"
75033,"Apt 16 Ocean Point, Courtown Habour"
75034,"APT 51, GLEANN NA TRA, SANDY RD"
75035,"Ballincur, Mooncoin"
75036,"BALLINDEREEN, KILCOLGAN"
75037,"Ballycoyle, Glencree, Co Wicklow"
75038,"Birmingham Road, Tuam"
75039,"Blackhill, Kill"
75040,"Blackstick Farm & House, Courteencurragh, Gorey"
75041,"CHARLIE BROWNS COTTAGE, GREENCASTLE, CO DONEGAL"
75042,"CLEENDERRY, MAGHERY, DUNGLOE"
75043,"Cooga, Doon"
75044,"CURRAGHMORE, LOUGHMORE, TEMPLEMORE"
75045,"East Rand, Ballymackenny, Drogheda"
75046,"Fahanes, Gearhies, Bantry"
75047,"Flat No 7  First Floor, Wentworth Gardens, Wilton"
75048,"Fort Royal, Rathmullan"
75049,"Furry Glen, Laytown Road, Julianstown"
75050,"Geashill, Tullamore"
75051,"Glann, Charlestown"
75052,"Glencorrib, Shrule"
75053,"Kilmacleague, Dunmore East"
75054,"King Street, Mitchelstown"
75055,"Lugmeeltan, Drumkeeran"
75056,"No 20 Railway Avenue, Clifden, Co Galway"
75057,"No. 1 Ard na Greine, Bellheights, Kenmare"
75058,"No. 11 Mockmoyne Heights, Mockmoyne, Boyle"
75059,"No. 29. Cois Cuain, Courtmacsherry"
75060,"No.8 Assumption Place, Urlingford"
75061,"Oldtown, Athgarvan, Newbridge"
75062,"PROPERTY, BWEENG, CO CORK"
75063,"Rusheenduff, Co. Galway"
75064,"Scrahans East, Mellary, Cappoquin"
75065,"Shancurry, Drumshanbo"
75066,"Summerbank, Oldcastle, County Meath"
75067,"Teach Iosaf, Pearse Road, Sligo"
75068,"The Cross, Cloghan"
75069,"The Lodge, Kilsallaghan"
75070,"The Old Rectory, Rathvilly"
75071,"THE SEXTON HOUSE, 4 DOVERS ROW, GOWRAN"
75072,"The Stables, Clonmannon, Ashford"
75073,"Twin Oaks, Wingfield, Bray"
75074,"10 Ashurst, Mount Merrion Avenue, Blackrock"
75075,"106 Costa na Mara, Oranmore"
75076,"107 Clanranald Road, Donnycarney, Dublin 5"
75077,"108 ardmore park, bray, county wicklow"
75078,"108 The Helm, Harty's Quay, Rochestown Road"
75079,"11 Distillery Mews, Distillery Lane, Dundalk"
75080,"11 Greenmount Lane, Harolds Cross"
75081,"11 Orchardton, Rathfarnham"
75082,"111  Cluain Bui, Enniscorthy"
75083,"114 Got na Coiribe, Headford Road, Galway"
75084,"121 Seacrest, Barna Road, Knocknacarra"
75085,"127 Cluain Bui, Enniscorthy"
75086,"12A NORTHUMBERLAND AVE, DUN LAOGHAIRE, DUBLIN"
75087,"13 Ardbrae Park, Bray"
75088,"13 Cuirt Cregg, Galway Road, Clifden"
75089,"13 Millview, Holmpartick, Skerries"
75090,"13 the haven, millers brook, nenagh"
75091,"138 Roselawn Road, Castleknock"
75092,"14 Barry Drive, Finglas"
75093,"14 Castlefield Way, Knocklyon, Dublin 16"
75094,"140 CLONARD PARK, BALLYBEG"
75095,"142 Ballygall Parade, Finglas"
75096,"15 Sycamore Lawn, The Park, Cabinteely"
75097,"150 Mourne Road, Drimnagh"
75098,"158 Parkgate Place, Parkgate Street"
75099,"15A Ard Laighne, Coolaney"
75100,"16 Cherryfield Road, Walkinstown"
75101,"17 PEYTON COURT, RATHCOOLE"
75102,"173A Foxrock Close, Foxrock"
75103,"18 Ailesbury Road, Donnybrook"
75104,"18 Breffni Crescent, Carrick on Shannon"
75105,"18 Brownsbarn Orchard, Brownsbarn, Citywest"
75106,"18 Glenageary Terrace, Lower Glenageary Road, Dun Laoghaire"
75107,"18 Trees Road, Mount Merrion, Co. Dublin"
75108,"19 Dartry Road, Dublin 6"
75109,"2 Spring Grove, Curraghalane, Lifford"
75110,"20 Courthouse View, Landmark Court, Carrick-on-Shannon"
75111,"20 Eltins Wood, Kinsale"
75112,"20 Knockranny Village, Westport"
75113,"20 The Meadows, Smithboro"
75114,"21 Wolfe Tone Square East, Bray"
75115,"214D Kilworth Road, Drimnagh"
75116,"22 MANORFIELD VIEW, CASTAHEANY"
75117,"22 McDonagh Road, Ballyphehan"
75118,"23 Fitzherbert Wood, Slane Road, Navan"
75119,"23 St. Nessans, Howth, Co  Dublin"
75120,"23 the willows, clonbalt woods, longford"
75121,"23 Williamstown Glen, Williamstown, Waterford"
75122,"23a Cedarwood Grove, Dublin 11"
75123,"24 birr road, banagher"
75124,"24 CARAGH COURT, PHILIPSBURG AVENUE"
75125,"24 Glen Easton Green, Easton Road, Leixlip"
75126,"26 HARBOUR COURT, COURTOWN, COUNTY WEXFORD"
75127,"27 Dale Park Road, Aylesbury, Tallaght"
75128,"27 Lios Ard, Tulla Road, Ennis"
75129,"27 Northcliffe, Chapelizod"
75130,"27 the park, beaumont woods"
75131,"27 Upper Fairhill Road, Claddagh, Galway"
75132,"28 Texas Lane, Malahide"
75133,"29 Belmont Green, Newbridge"
75134,"3 Convent View, Midleton"
75135,"3 GLEAN AOIBHANN, GLENFARNE, CO.LEITRIM"
75136,"30 GOULD STREET, CORK"
75137,"31 Broadway Park, Blanchardstown"
75138,"31 Dufferin Avenue, South Circular Road, Dublin 8"
75139,"31 Swift Hall, Collegewood, Castleknock"
75140,"314 Charlemont, Griffith Avenue, Dublin 9"
75141,"32 GLENCURRIG, SOUTH DOUGLAS ROAD, CORK"
75142,"33 Highbury, Waterpark, Carrigaline"
75143,"36 Kilworth Road, Drimnagh, Dublin 12"
75144,"36 The Orchards, Tullow Road, Carlow"
75145,"37 MILLBOURNE CRESCENT, SLANE ROAD, ASHBOURNE"
75146,"4 College Avenue, College Park, Callan Road  Kilkenny"
75147,"4 Glencairn Green, The Gallops, Leopardstown"
75148,"4 HAMPTON WOOD, BALBRIGGAN"
75149,"4 Sleepy Hollow, Kinsealy Lane, Malahide"
75150,"4 ST MICHAELS COTTAGES, HOLE IN THE WALL RD, DONAGHMEDE"
75151,"40 New Cabra Road, Phibsboro"
75152,"41 St Bernards Place, Fermoy"
75153,"44 AN CHOILL RUA, KELLYMOUNT, PAULSTOWN"
75154,"45 Cherry Avenue, Caherdavin"
75155,"45 KENYON STREET, NENAGH"
75156,"46 Griffith Court, fairview, dublin 3"
75157,"47 Benbulbin Road, Drimnagh"
75158,"47 Liosmor, Cappagh Road, Galway"
75159,"48 The Spires, Carrignafoy, Cobh"
75160,"49 Binn Eadair View, Sutton, Dublin 13"
75161,"49 Michael St, New Ross, Co. Wexford"
75162,"5  South View, Ballinlough Road, Cork"
75163,"5 Elton Court, and car park space 5"
75164,"5 Kiltegan Park, Rochestown Road, Douglas"
75165,"50 Oyster Bay, Rosses Point"
75166,"53 ALANTIC COAST APARTMENTS, TRAMORE, CO. WATERFORD"
75167,"53 Carrickhill Heights, Portmarnock"
75168,"53 Gulistan Cottages, Rathmines"
75169,"54a Riverchapel View, Courtown, Gorey"
75170,"6 Ard Laighne, Coolaney"
75171,"6 Clggan Road, Ballyfermot, Dublin 10"
75172,"6 EATON DRIVE, RATHCOOLE, DUBLIN 24"
75173,"6 Fairlawns, Saval Park Road, Dalkey"
75174,"6 Prospect Terrace, Marine Drive, Sandymount"
75175,"61 Gracedieu Heights, Waterford"
75176,"64 Jarlath Road, Cabra"
75177,"68 Foxrock Avenue, Foxrock, Dublin 18"
75178,"69 Old Balreask Woods, Navan"
75179,"69 Portersfield, Clonsilla"
75180,"7 BRIMLEY GROVE, ARDKEEN VILLAGE, DUNMORE ROAD"
75181,"7 Calderwood Circle, Donnybrook Douglas"
75182,"7 Sruthan Chadai, Ballybay"
75183,"72 Granitefield, Rochestown Ave, Dunlaoghaire"
75184,"78 Willow Grove, Carrick Road, Dundalk"
75185,"8 Castlefield Park, Clonsilla, Dublin 15"
75186,"8 Houghton Place, New Ross"
75187,"86 merrion road, ballsbridge"
75188,"9  Whitechurch Green, Rathfarnham"
75189,"9 Ballinacurra Terrace, Ballinacurra Road, Limerick"
75190,"91 Connolly Road, Ballyphehane, Co. Cork"
75191,"93 Seaview Park, Portrane"
75192,"97 Cooley Road, Drimnagh"
75193,"97 Silchester Park, Glenageary"
75194,"Alverstoke, Bray Road, Foxrock"
75195,"Antfield, Aghamore, Carrick on Shannon"
75196,"Apartment 12 Barrington Court, North Circular Road"
75197,"Apt 16 Finnstown Hall, Hayden's Lane, Lucan"
75198,"Apt 17 Finnstown Hall, Hayden's Lane, Lucan"
75199,"Apt 50 Jervis Place, North City Centre"
75200,"Apt. 19 The Crescent, Killegland, Ashbourne"
75201,"Apt. 4  Three Rock Grove, Rathfarnham"
75202,"Apt. 40 Wellmount Student Village, Dublin Road, Athlone"
75203,"Apt. No. 2, Glenbrook Lawn, Newtownmountkennedy"
75204,"Ballycotton, Liscannor, Co Clare"
75205,"Ballyloughnane, Riverstown, Birr"
75206,"Ballymabin, Dunmore East"
75207,"Barney, Ardagh"
75208,"Baysland, Naas"
75209,"Bowl Road, Macroom"
75210,"Capal Lodge, Kilmeade Lower, Athy"
75211,"Castlecuffe, Clonaslee"
75212,"Church Road, Coolkenno, Shillelagh"
75213,"Cloonahaha, Gort"
75214,"Cluin Ard, Castlerea, Roscommon"
75215,"Coolcower, Macroom"
75216,"Cullinagh, Newcastle West, Co. Limerick"
75217,"Derrycallan North, Ballinakill, Gort"
75218,"Feighroe, Connolly, Ennis"
75219,"Glaskenny, Enniskerry"
75220,"Gortnavern, Letterkenny"
75221,"Holmewood, Poulmarl, Taghmon"
75222,"KILLINURE, TULLOW CO WICKLOW"
75223,"Killinure, Tullow, Co Wicklow"
75224,"La Casa, Celbridge Road, Leixlip"
75225,"Liss, Abbeyknockmoy"
75226,"Main Street, Castlebar"
75227,"Main Street, Collooney"
75228,"Main Street, Kilkelly"
75229,"MARTINSTOWN COTTAGE, CURRAGH, KILDARE"
75230,"MAYFIELD, CLAREMORRIS, MAYO"
75231,"Moircon  Dunbrin, Barrow House Road, County Laois"
75232,"Mountbolton, Portlaw"
