,Address
145000,"HAMMONDSTOWN, DUNLEER, LOUTH"
145001,"HIGH ST, TEMPLEORUM, PILTOWN"
145002,"HIGHFIELD HOUSE, CARLANSTOWN, KELLS"
145003,"KNOCKGLOSS, BROADFORD, VIA CHARLEVILLE"
145004,"MEADOW VILLA, FERRIS LANE, BUNCRANA"
145005,"MOUNT CROZIER, COBH, CO. CORK"
145006,"Mullagh, Dromahair"
145007,"MURRAVAUGH, MULLRANNY, WESTPORT"
145008,"NEWTOWN, BEAUPARC, NAVAN"
145009,"No 48 Rathcluain, Kiltimagh, Co. Mayo"
145010,"OLD KILDIMO, KILDIMO, LIMERICK"
145011,"QUAY STREET, BELMULLET"
145012,"ROSSOW, KILMEENA, WESTPORT"
145013,"SEAVIEW, GARROLAGH, CLOGHERHEAD"
145014,"SHELLFIELD, RAMELTON, CO DONEGAL"
145015,"SLIEVENAMON RD, THURLES, TIPPERARY"
145016,"SULLHILL LOWER KILLEENS, BLACKSTONE BRIDGE, CORK"
145017,"THE COTTAGE, BOFARA, WESTPORT"
145018,"THE DOCK ROAD, BELLMULIT, COUNTY MAYO"
145019,"THE MUSE REAR, 18 LARCHFIELD RD, GOATSTOWN DUBLIN 14"
145020,"TIR NA NOG, CROAGH CROSS, PORTSALON"
145021,"Tiragus, Trentagh, Letterkenny"
145022,"TULLYLUST, RATHANGAN, KILDARE"
145023,"TURRAREE, GLIN"
145024,"WEST LODGE, ASHFORD, CONG"
145025,"WEST RIDGE LODGE, GORTAGULLANE, MUCKROSS"
145026,"WILLIAMSTOWN CASTLEBELLINGHAM, CASTLEBELLINGHAM, LOUTH"
145027,"WILLSGROVE, BALLINTUBBER, ROSCOMMON"
145028,"'Seafront', Carrowbunnaun, Strandhill"
145029,"1  Ross View, Ross Street, Killavullen"
145030,"1 Barronsfield, Ramsgrange, New Ross"
145031,"1 BUSHY PARK GARDENS, RATHGAR, DUBLIN 6"
145032,"1 Charlemont Mews, Hwoth Road, Dublin 3"
145033,"1 CORRY FIELD, WINDSOR HILL, GLOUNTHAUNE"
145034,"1 RATHMILES GROVE, KILLENARD, LAOIS"
145035,"1 SEAFIELD CRESCENT, BLACKROCK, DUBLIN"
145036,"1 ST CIARANS PARK, ROSCOMMON, ROSCOMMON"
145037,"1 SUNMOUNT, BALLYVACKEY, CLONAKILTY"
145038,"10  HORSEHEAD, PASSAGE WEST, CORK"
145039,"10 Ardcross, Crosshaven"
145040,"10 CAISLEAN CLOSE, BALLINCOLLIG, CORK"
145041,"10 DEAN MCNAMARA PLACE, CHARLEVILLE, CORK"
145042,"10 LISMORE RD, KIMMAGE, DUBLIN 12"
145043,"104 HAZELBURY PARK, CLONEE, DUBLIN 15"
145044,"10A BALLINTEER PARK, BALLINTEER, DUBLIN 16"
145045,"10A MOUNTBROOK APTS, STILLORGAN, DUBLIN"
145046,"11 CLUAIN A LAOI, COXTOWN, DUNMORE EAST"
145047,"11 SPRINGFIELD EST, MAYFIELD, CORK"
145048,"112 Hampton Wood Road, Hampton Wood, Dublin 11"
145049,"114 ALPINE HEIGHTS, CLONDALKIN, DUBLIN 22"
145050,"117 Kilbarry Place, Farranree"
145051,"13 INIS THIAR, OLDBAWN, TALLAGHT DUBLIN 24"
145052,"13 KILLAHA COURT, COUNTESS RD, KILLARNEY"
145053,"13 SPOLLANSTOWN WOOD, TULLAMORE, OFFALY"
145054,"13 THE HOLLOWS, NEWCASTLE RD, LUCAN"
145055,"132 COOLEY RD, DRIMNAGH, DUBLIN 12"
145056,"135 KNOCKMAREE, ST LAWRENCE ROAD, CHAPELIZOD"
145057,"14 GRACEMEADOW PARK, STAMULLEN, MEATH"
145058,"14 KILAKEE GROVE, FIRHOUSE, DUBLIN 24"
145059,"14 LA TOUCHE PARK, GREYSTONES, WICKLOW"
145060,"14 SAINT JOHNS TERRACE, SLIGO"
145061,"140 CLUAIN RI, ASHBOURNE, MEATH"
145062,"140 GEORGIAN VILLAGE, CASTLEKNOCK, DUBLIN 15"
145063,"144 CHERRY AVE, RIVERVALLEY, SWORDS"
145064,"15 Sleepy Hollow, Kinsealy Lane, Malahide"
145065,"16 Clonboy, Bridgetown, Killaloe"
145066,"16 CLONES ROAD, NEWBLISS, CO MONAGHAN"
145067,"16 MOUNT DRINAN AVE, KINSEALY DOWNS, SWORDS"
145068,"18 The Willows, Willowfield Road, Ballinamore"
145069,"186 COILL TIRE, DOUGHISKA, GALWAY"
145070,"19  Brighton Square, Foxrock, Dublin 18"
145071,"19 EASTMORELAND COURT, EASTMORELAND PLACE, DUBLIN 4"
145072,"19 LISBAUN, CLAREMOUNT, CLAREMORRIS"
145073,"19 THE BRAMBLES, BALLYBUNION, KERRY"
145074,"19 TULFARRIS VILLAGE, BLESSINGTON, WICKLOW"
145075,"19/20 QUEEN STREET, TRAMORE, CO WATERFORD"
145076,"1A STATION RD, THE BUNGALOW, DUBLIN 22"
145077,"2 Strafan Place, Straffan Woods, Maynooth"
145078,"20  BLACKTHORN WAY, FOREST GLEN, FERMOY"
145079,"21 DERRAVARAGH ABBEY, MULTYFARNHAM, WESTMEATH"
