address,lon,lat
"94 CRUACHAN, KNOCKATEEMORE, DUNGARVAN",0,0
"98 ROCKFORD MANOR, BLACKROCK, DUBLIN",53.2887291,-6.1638122
"99 GRANGE PARK CRESCENT, RAHENY, DUBLIN 5",0,0
"APARTMENT 166, SMITHFIELD VILLAGE, DUBLIN 7",0,0
"Apartment 37 & Berth 21, The Waterfront, Leitrim Village",0,0
"Apartment 44 & Berth 65, The Waterfront, Leitrim Village",0,0
"APARTMENT NO 163, SMITHFIELD VILLAGE, DUBLIN 7",0,0
"APARTMENT NO 190, SMITHFIELD VILLAGE, DUBLIN 7",0,0
"APARTMENT NO 205, SMITHFIELD VILLAGE, DUBLIN 7",0,0
"APT 1 THE LAURELS, TERENURE ROAD WEST, TERENURE",53.3079564,-6.3195456
"APT 1, SMITHFIELD VILLAGE, DUBLIN 7",0,0
"Apt 24 Station Court, Gorey",0,0
"Apt 25 Station Court, Gorey",0,0
"APT 29 WATERS EDGE, LANESBOROUGH, ROSCOMMON",0,0
"APT 2, GLENANNE, KIMMAGE CROSS RD DUBLIN 6",0,0
"APT 410, HARVEYS QUAY, LIMERICK",0,0
"Apt 66 Station Court, Gorey",0,0
"Apt 67 Station Court, Gorey",0,0
"Apt 68 Station Court, Gorey",0,0
"Apt 69 Station Court, Gorey",0,0
"Apt 70 Station Court, Gorey",0,0
"Apt 78 Station Court, Gorey",0,0
"Apt 94 Station Court, Gorey",0,0
"Apt 97 Station Court, Gorey",0,0
"BALLYCARRIGEEN LOWER FERNS, ENNISCORTHY, WEXFORD",0,0
"BALLYGOWAN, LISNAGRY, LIMERICK",0,0
"CAHERMACULICK, SHRULE, CO MAYO",0,0
"CARNAMOYLE, MUFF, COUNTY DONEGAL",0,0
"CASTLESOW, CROSSABEG, WEXFORD",0,0
"Claddagh, Aclare",54.0210454,-8.910806469093043
"COARSEPARK, CASTLEBAR, MAYO",53.869885,-9.311435323174193
"COOLNASMEAR, DUNGARVAN, WATERFORD",52.1401102,-7.6463496
"CORRANDOO, MONIVEA, ATHENRY",53.3835384,-8.652197254393037
"CROAGH, DUNKINEELY, CO DONEGAL",0,0
"CROSS, CLAREMORRIS, CO MAYO",53.5413149,-9.2156617
"CUNNIHEE, KILLONAN, BALLYSIMON",0,0
"DELMAR, BOHERNORE, KNOCKLONG",0,0
"DERREENY, ADRIGOLE, CO. CORK",0,0
"DERRYBAWN, REENASCRENA, ROSSCABERY",0,0
"DRUMPHEA, GARRYHILL, BAGENALSTOWN",0,0
"EMLAGH, ANASCAUL, CO KERRY",0,0
"FAHA, THE GLEN, EMLAGHMORE",0,0
"FRIARSTOWN, GRANGE, KILMALLOCK",0,0
"GREENTREES, MILLTOWN, DUBLIN 6",0,0
"KELSO, LISQUINLAN, LADYSBRIDGE",0,0
"KILADAGAN, BALLAGHADREEN, ROSCOMMON",0,0
"KILRONAN, INIS MOR, ARAN ISLANDS",0,0
"KNOCKANATTIN, ARDNABOHA, BELGOOLY",0,0
"KYLENOE, HORSE AND JOCKEY, THURLES",0,0
"LISGRIFFIN CROSS, BUTTEVANT, CORK",0,0
"LISLIDDY, CASTLEREA, ROSCOMMON",53.752267450000005,-8.44857913022652
"MENLENA, DUNMORE, CO GALWAY",0,0
"MERMAIDS COTTAGE, BALLYNESS, FALCARRAGH",0,0
