address,lon,lat
"54 COLLINS SQUARE APTS, BENBURB ST, DUBLIN 7",0,0
"54 GLEN VALE, BALLY RAGGET, KILKENNY",0,0
"55 BRACKINRANEY MANOR, LONGWOOD, MEATH",0,0
"55 THE ORCHARD, MOYLOUGH",53.48954245,-8.570881599999998
"59 BARTON RD EAST, DUBLIN 14, BAILE ÁTHA CLIATH",53.2871792,-6.2597254532186515
"6 RACECOURSE LAWNS, CLIFDEN, CO GALWAY",0,0
"6 WESTVIEW TERRACE, ADELADE ROAD, BRAY",0,0
"63 HILL OF DOWN HOUSE, SPENCER DOCK, DUBLIN 1",0,0
"63 MILL RACE, DULEEK, MEATH",0,0
"63 Preston Brook, Rathangan",53.21811605,-7.00681685
"64 HILL OF DOWN HOUSE, SPENCER DOCK, DUBLIN 1",0,0
"66 RADCLIFF HALL, ST JOHNS RD, SANDYMOUNT DUBLIN 4",0,0
"7 CARRICK VIEW, CARRICK ON SHANNON, ROSCOMMON",53.9383833,-8.1067001
"7 Pearse Street, Cahir",0,0
"70 ST MICHAELS VILLAS, ENNIS, CLARE",52.8368715,-8.9797426
"71 PRIORY SQ, ST RAPHAELS MANOR, CELBRIDGE",53.337797,-6.5557161
"72 PALMER COURT, RUSH, CO.DUBLIN",0,0
"77 Coill Rua, Mullingar",53.52813345,-7.3057138152707
"8 COIS NA HABHAINN, DRUMCARBIT, DONEGAL",0,0
"8 GREEN RD, CARLOW",52.82507495,-6.933736215873429
"8 WHITECHURCH GROVE, BALLYBODEN, DUBLIN 16",53.2782325,-6.2903457
"80 HIGHFIELD MANOR, MULLINS LANE, CROSNEEN",0,0
"81 DEVON PARK, SALTHILL, GALWAY",53.26577585,-9.073506929462631
"82 Cluain Ri, Ashbourne",53.51326005,-6.406260909148199
"91 GRANGE HALL DUNSHAUGHLIN, DUNSHAUGHLIN, MEATH",0,0
"Apartment 1 to 23, Discussed with Estamping, RICHMOND RD DUBLIN 3",0,0
"Apartment 2 James, Connolly House 43, East Essex Street D2",0,0
"Apartment 23 to 45, RICHMOND GARDENS, RICHMOND RD DUBLIN 3",0,0
"Apartment 4 Pine Court, Castlelake, Carrigtwohill",0,0
"Apartment 68 to 91, RICHMOND GARDENS, RICHMOND RD DUBLIN 3",0,0
"Apartment 7  25 Belgrave Road, Rathmines",0,0
"APARTMENT A SUNDAY SCHOOL LANE, WILLIAM OBRIEN STREET, BLACKPOOL",0,0
"Apartments 46 to 67, RICHMOND GARDENS, RICHMOND RD DUBLIN 3",0,0
"APT 99 THE PAVILLION, DUN LAOGHAIRE, DUBLIN",0,0
"APT OVERHEAD CHINESE RESTAURANT, GRAINNE OG, CHURCH ST  MOATE",0,0
"Apt. 6 The Maple, Cruagh Wood, Stepaside",0,0
"ARDMORE, 10 RETREAT ROAD, ATHLONE",0,0
"AUGHRIM, HILLSTREET, CARRICK ON SHANNON",0,0
"Ballinvoher, Turloughmore, Athenry",0,0
"BALLYCOTTON GARDA STATION, BALLYCOTTON, CO CORK",0,0
"BALLYDAW, KILMACAW, COUNTY KILKENNY",0,0
"BALLYKEROUGE, CAMPILE, NEW ROSS",0,0
"BALLYLAHIFF, NEWCASTLEWEST, LIMERICK",0,0
"BALLYREEVAGH, NEWTOWNCASHEL VILLAGE, CO LONGFORD",0,0
"CARRAGANS LOWER, BALLYMOTE, CO SLIGO",0,0
"CLADDANURE WEST, KENMARE, CO KERRY",51.887965550000004,-9.620155709025926
"CLONCOOL, OCALLAGHANS MILLS, CLARE",0,0
"COOLALTA, MACROOM, CORK",51.9051053,-8.873325007538622
"Coungilla, Scartaglin, Killarney",0,0
"CUILIN, WILTON RD, CORK",0,0
"DERRYNANE, 11 DROMORE RISE, RAHEEN",0,0
"DIRTANE, BALLYHEIGUE, KERRY",0,0
"drumcoura, BALLINAMORE",54.021389,-7.757778
"DUNMANIHEEN, KILLORGLIN, KERRY",0,0
"DUNMOYLAN, SHANAGOLDEN, CO LIMERICK",0,0
"KILGABRIEL, CLASHMORE, WATERFORD",52.006489450000004,-7.794692025279427
"Kilgorey, Crettyard",0,0
"LAVANDER LODGE, KILLAGHBEG, KILCONNELL BALLINASLOE",0,0
"LEAM, BOYLE, ROSCOMMON",53.928866299999996,-8.302759740264857
"MAIN ST, BALLYROAN, LAOIS",52.9480957,-7.3051573
"MANDALAY, DUBLIN RD, KILMINCHY",0,0
