address,lon,lat
"210B PEARSE RD, BALLYPHEHANE, CORK",51.8823925,-8.4764946
"22 KILTIPPER GATE, KILTIPPER WAY, DUBLIN 24",53.2703484,-6.3716649
"22 ST TERESAS PLACE, GLASNEVIN, DUBLIN 9",0,0
"22 VERNON GARDENS, CLONTARF, DUBLIN",53.3609478,-6.1939706
"222 GREENPARK MEADOWS, MULLINGAR, WESTMEATH",0,0
"23 CHERRYFIELD AVE, WALKINSTOWN, DUBLIN 12",0,0
"23 EARL COURT, LOUGH RYNN ESTATE, MOHILL",0,0
"23 LARCHFIELD RISE, YEWWOOD, YOUGHAL",0,0
"24 SHANNON PK, ENNIS, CO CLARE",52.852367900000004,-8.9739622
"24 ST KEVINS SQ, BRAY, WICKLOW",53.2023078,-6.1115085
"24 THE DRIVE, CLONEE, DUBLIN 15",53.405587749999995,-6.452707727592379
"25A WILLOW COURT, DRUID VALLEY, LOUGHLINSTOWN",0,0
"26 Coill Dubh Avenue, Coill Dubh, Malahide",0,0
"26 MEADOWBROOK AVE, MAYNOOTH, KILDARE",53.3732323,-6.5968048
"26 THE BRIDGE, SHANKILL, DUBLIN",53.2302278,-6.1241807
"26A FITZHAVEN SQ, CIRCULAR RD SOUTH, LIMERICK",0,0
"28 ARNOLD PK, GLENAGEARY, DUBLIN",0,0
"29 FEARNOG, CLYBAUN RD, GALWAY",0,0
"2A HIGHRIDGE GREEN, KILMACUD RD UPPER, BLACKROCK",0,0
"3 ALEXANDRA QUAY, YORK RD, RINGSEND DUBLIN 4",53.34404775,-6.225337006007119
"3 ALEXANDRA TERRACE, OFF BLOOMFIELD AVE, SOUTH CIRCULAR RD DUBLIN 8",0,0
"3 ARDEE ST, BRAY, CO WICKLOW",53.2050627,-6.116236949999999
"3 CASTLE RD, CLONTARF, DUBLIN 3",0,0
"3 EARL COURT, LOUGH RYAN ESTSTE, MOHILL",0,0
"3 EISCIR HEAD RD, EISCIR MEADOWS, TULLAMORE",0,0
"3 FAWN LODGE, CASTLEKNOCK RD, CASTLEKNOCK DUBLIN 15",0,0
"3 HAZELWOOD, CLONROADMORE, ENNIS",0,0
"3 KNOCKANALLY VILLAGE, DONADEA, KILDARE",53.383974550000005,-6.785769189511889
"3 TEMPLE LINN, BALLYMORE, WESTMEATH",53.4907378,-7.6626554
"30 GREENHILLS, BALLINAMEEN, BOYLE",0,0
"31 PERY COURT, UPPER MALLOW ST, LIMERICK",0,0
"33 Cooperswood, Kinsealy",0,0
"33 HOLLYBANK RD, DRUMCONDRA, DUBLIN 9",53.3677098,-6.2607568
"35 KILTEEVAN PARK, ST PATRICK'S STREET, CASTLEREA",0,0
"35 LANESBOROUGH CRESCENT, ST MARGARETS RD, DUBLIN 11",0,0
"35 SOUTH LODGE, DOUGLAS, CORK",51.8498556,-8.4746658
"36 BANCROFT AVE, TALLAGHT, DUBLIN 24",0,0
