address,lon,lat
"28 SEABURY PARK, MALAHIDE",53.454933366666666,-6.1854178
"3 Asicus Villas, Athlone",0,0
"3 Old School House Road, Monaleen, Castletroy",0,0
"32 Villiers Road, Rathgar, Dublin6",0,0
"39 AUBURN DRIVE, KILLINEY",53.2619055,-6.1378187
"4 AYLESBURY AVENUE, AYLESBURY, FERRYBANK",0,0
"4 St Edmundsbury Court, Esker, Lucan",0,0
"41 Dolmen Court, Poppintree, Ballymun",0,0
"42 Hibernian Buildings, Albert Road",0,0
"43 brookwood avenue, artane, dublin 5",0,0
"46 Cedar Vale, Athlumney Wood, Navan",0,0
"46 Kinvara Park, Navan Road, Dublin 7",0,0
"53 Balally Park, Dundrum",53.28128995,-6.231628287841298
"61 Seaview, Sneem",51.8379955,-9.9031775
"66 Derravarragh Road, Terenure",0,0
"67 Manor Street, Dublin 7",53.352616600000005,-6.284581957396442
"71 Kilmore Road, Artane",53.3887228,-6.222229014576467
"75 Cedarbrook Avenue, Cherry Orchard",0,0
"8 The Green, Moyglare Hall  Moyglare Road, Maynooth",53.391029700000004,-6.59509945
"Apt 4 Rathvale Drive, Airfield",0,0
"Baile Eaglaise, Ballyferriter",0,0
"Ballydaly, Elton, Knocklong",0,0
"Carrowbaun, Swinford",53.9234784,-8.95134424667948
"Cornakill, Mullagh",53.8285374,-6.9846495
"Corragh, Downings",0,0
"Derrynamansher, Annagry",0,0
"Drumnacool, Geevagh, Co. Sligo.",0,0
"Fartan Lower, Fairtown",0,0
"Grove, Cuffesgrange",52.6147625,-7.331019529226685
"Huntsman Lodge, Brunee",0,0
"KILSHENANE, LISTOWEL",52.38622530000001,-9.526070491725747
"MAULYREGAN, REENASCREENA, ROSSCARBERY",0,0
"Meenbanad, Burtonport",0,0
"Mineholm, Barnhill Road, Dalkey",0,0
"modeshill, mullinahone",0,0
"Roselawn, Lahrchill, Ennis",0,0
"Station Road, Pettigo",54.5494414,-7.8321522
"Tullahought, Piltown",52.42563545,-7.3619424366704385
"1  Dean Swift Road, Wadelai Estate",0,0
"1 The Pines, Killester, Dublin 5",0,0
"10 Alexandra Villas, St. Lukes, Cork",0,0
"10 Glenbeg Point, Ardamine",52.626517,-6.23398049377028
"100 Eden Villas, Glasthule, Dublin",53.284762400000005,-6.125882350000001
"105 Coill Darach, Castleblayney",0,0
"109 Ventry Park, Cabra, Dublin 7",53.3692343,-6.3035137
"10A Barton Close, Churchfields, Straffan",0,0
"11 Cluain Ri, Trim",53.5587832,-6.7755381
"11 Dunross, Culdaff",55.283728100000005,-7.158989670983085
"12 cluainban, ballytoohey, tarmonbarry",0,0
"13 The Hawthorns, Kilcock, County Kildare",53.393397449999995,-6.6697942989189745
"14 Millbourne Grove, Ashbourne, Co Meath",53.51257045,-6.412659198144894
"14 Rye River Crescent, Leixlip",53.366478,-6.4888542
"16 Charlestown Drive, Finglas",53.404345,-6.2978915
"17 INIS GARDENS, LEIGHLINBRIDGE",0,0
"18 BELADD LOWER, STRADBALLY ROAD, PORTLAOISE",0,0
"209 Marian Villas, Donegal Town",0,0
"23c York Road, Rathmines",53.3178083,-6.2679668
"26 Clonbrusk West, Coosan, Athlone",53.4335708,-7.9452089
"26 Elgon Walk, Ardkeen Village, Waterford",52.2449016,-7.0887166
"26 FAIRFIELD ROAD, GLASNEVIN, DUBLIN 9",0,0
"26 The Acres, Dromahaire",0,0
"27 Boroimhe Beech, Swords",53.4443863,-6.2329535
"27 Oakdale Close, Ballycullen, Firhouse",0,0
"29 Grosvenor Square, Rathmines, Dublin 6",53.32512606942113,-6.2728997692338355
"29 Harbour Court, Courtmacsherry",0,0
"29 Killadreenan Close, Newtownmountkennedy",0,0
"3 Lisdrumskeagh, Shercock",0,0
"30 All Hallows Green, Drumcondra",53.3727303,-6.2506951
"31 Aubrey, Shankill",53.229318199999994,-6.123879766511861
"32 Haroldville Avenue, South Circular Road, Dublin 8",53.335106,-6.293723
"38 Priory Road, Harolds Cross",0,0
"385  Dowdenstown Great, Ballymore Eustace",0,0
"39 An Tor Aonarach, Rocks Road, Kingscourt",0,0
"39 Barley Cove Villas, Barley Cove",0,0
"4  Verschoyle Drive, Saggart Abbey, Blessington Road",0,0
"41 Bridgewater Quay, Islandbridge",53.34779905,-6.306126296497764
"45 Lindville, Blackrock Road, Cork",0,0
"5 Cul na Canalach, Poolboy, Ballinasloe",0,0
"51 Fitzroy Avenue, Drumcondra, Dublin 9",53.3619743,-6.2557697
"52 Summer Cove, Lahinch, Clare",0,0
"54 iona road, glasnevin, dublin 9",-43.4751675,172.5953399
"56  College Park, Corbally",53.396960899999996,-8.903976125676088
"5Primrose Lane  PrimroseGarden, Jigginstown, Naas",0,0
"7 Ashington, Brooklodge, Glanmire",51.9304579,-8.3795449
"7 Church Gate, Wicklow Town",0,0
"70 St. Lawrence Road, Clontarf",53.3645543,-6.21472
"703  Virginia Heights, Springfield, Tallaght Dublin 24",53.2867611,-6.3777247
"78 Mulcair Manor, Newport",0,0
"8 Ballynanty Road, Ballynanty Beg, Limerick",0,0
"8 Marguerite Villas, Dean Street, Cork",0,0
"8 Silverwood, Finnstown Abbey, Lucan",0,0
"90 Oranmore Road, Ballyfermot",53.3397295,-6.3614306
"91 Royal Meadows, Kilcock",53.395588000000004,-6.670778776128311
"96 Lismore park, Waterford",52.2490375,-7.140058
"96 Nephin Road, Dublin 7",53.365776100000005,-6.306547250000007
"Apartment 601 Bridgewater, North Quay, Arklow",0,0
"Ash Tree Lodge, Mountainstown, Dunleer",0,0
"Aucloggeen, Claregalway",0,0
"BALLINASCARTHA, MIDLETON",0,0
"Ballycurreen, Glounthaune, Co Cork",0,0
"BALLYMARIE, KILMACOW, CO. KILKENNY",0,0
"Beech Haven, Christianstown, Newbridge",0,0
"Bunagarha, Listowel",52.448763799999995,-9.42339106468148
"Carrigleigh, Inchingeelagh",0,0
"Carrowbehy, Castlerea",0,0
"Carrowhubbuck South, Enniscrone",54.223611,-9.092222
"Coolroe Lower, Glenbeigh, Co. Kerry",0,0
"Cools, Headford, Killarney",0,0
"Curranstown, Arklow",52.7807524,-6.203102431677577
"Dunran Hill, Ashford, Co. Wicklow",0,0
"Dunrovin, Blackstoops, Enniscorthy",0,0
"Dwellinghouse at Main Street, Riverchapel, Courtown  Gorey",0,0
"Flat 10, Rose Court, Cabra Road",53.36190164999999,-6.297496183153703
"Flat 8  Temple Hill, Terenure Road West, Dublin 6W",53.3112249,-6.291017321268971
"FOUR SEASONS HOTEL, BALLSBRIDGE, DUBLIN",53.32674625,-6.225826124801058
"Inch, Ballaghkeen South, Blackwater",0,0
"Kilmoreen, Kildimo",52.601905200000004,-8.827436255741926
"Kilskeer, Upper Kells",53.695205849999994,-6.991616807860748
"LARKINS CROSS, CLONLARA",0,0
"Lurgan, Brickens, Claremorris",0,0
"Meenachallow, Glenties",54.783333,-8.271667
