address,lon,lat
"103, Carraigweir, Tuam",0,0
"104 GRACEPARK MEADOWS, DUBLIN 9, DUBLIN",0,0
"12 CUSHLA LAWNS, MONKSLAND, ATHLONE",0,0
"12 Dalriada Walk, Knocklyon, Dublin 16",53.2711618,-6.3263303
"12 The Court, Lus an Ime, Cloyne",0,0
"128 THE STRAND, OCALLAGHAN STRAND, LIMERICK",52.664766,-8.6325959
"13 KENURE PARK, POWERSCOURT, WATERFORD",0,0
"14 CAHER PLACE, CASTLEGREGORY, KERRY",52.2493287,-10.011164484851575
"14 FRANKFORT PARK, DUNDRUM, DUBLIN 14",53.2960532,-6.2479341
"14 GLENFIELD CLOSE, CLONDALKIN, DUBLIN 22",0,0
"14 Heathfield Way, Cappagh Road, Finglas",0,0
"14 LIOS NA SIDHE, MILFORD GRANGE, CASTLETROY",52.6687901,-8.5654146
"15 CASTLE VIEW GROVE, SWORDS, DUBLIN",0,0
"15 RONCALLI RD SUTTON, DUBLIN 13, DUBLIN",53.3870042,-6.1455056
"155 Kylemore, Schoolhouse Road, Monaleen",0,0
"157 CATHEDRAL RD, CORK, CORK",51.9045347,-8.47889885
"16 AIRFIELD RD, RATHGAR, DUBLIN 6",53.3132646,-6.2751966
"16 NICHOLAS CHURCH PLACE, COVE ST, CHURCH PLACE",38.7177291,-82.2368994
"16 SPERRIN RD, DRIMNAGH DUBLIN 12, DUBLIN",0,0
"160 OLD COUNTY RD, CRUMLIN, DUBLIN 12",53.3272417,-6.308081092472623
"168 BARRINGTON COURT, PROSPEROUS, KILDARE",53.2861346,-6.7563981
"17 GRANGE PARK, RATHFARNHAM, DUBLIN 14",53.2899401,-6.2852774
"17 SERPENTINE AVE, BALLSBRIDGE, DUBLIN 4",53.3290726,-6.2253792
"17 SYCAMORE CLOSE, TERMON ABBEY, DROGHEDA",0,0
"17 WILLOW PARK, ENNIS, CO CLARE",52.85359925,-8.991990723428394
"18 BRACKENRAINEY MANOR, LONGWOOD, MEATH",0,0
"19 UPPER CLANBRASSIL ST, DUBLIN 8",0,0
"195 THE OAKS, BALLYMANY, CO KILDARE",0,0
"2 BALLINAMONEY, BAILIEBOROUGH, CAVAN",53.8971516,-6.952880768500048
"2 MOWLDEN BRIDGE, RATOATH, MEATH",0,0
"2 ST MARGARETS CLOSE, CASTLE PARK RD, DALKEY",0,0
"2 The Tanager, Barnageeragh Cove, SKerries",53.5848556,-6.140643630958232
"206 BROOKFIELD HALL GROODY RD, CASTLETROY, LIMERICK",0,0
"21 ASHWOOD WALK, SUMMERHILL, PORTLAOISE",0,0
"21 PAIRC NA GREINNE, DROMAHANE, MALLOW",0,0
"22 TRAMWAY COURT, OLD BLESSINGTON RD, TALLAGHT DUBLIN 24",53.2872626,-6.3760567
"23 MARINE COURT APTS, ATLANTIC WAY, BUNDORAN",0,0
"25 BEECHFIELD HEIGHTS, CASTAHEANY, CLONEE DUBLIN 15",0,0
"25 STONEWOOD, CLONAKILTY, CORK",0,0
"26 CASTLEDAWSON, MAYNOOTH, KILDARE",0,0
"26 CUL RONAIN, BALLIVOR, MEATH",0,0
"27 DOYLE RD, TURNERS CROSS, CORK",51.8876498,-8.4722775
"27 Parkside Close, Parkside, Balgriffin",0,0
"28 ANGLERS WALK, CARLOW, CARLOW",0,0
"28 CASTLE GROVE, CLONTARF, DUBLIN 3",53.3689556,-6.2056376
"28 THE HAWTHORNS, ARDRAVAN, BUNCRANA",0,0
"29 BEECH ROAD, FOTA ROCK, CARRIGTWOHILL",0,0
"29 Rinn Duin, Rindifin, Gort",0,0
"29 SHANNON QUAYS, ROOSKEY, LEITRIM",0,0
"298 CAPTAINS RD, CRUMLIN, DUBLIN 12",53.318663,-6.30914002
"3 COIS ABHAINN, COLLOONEY, SLIGO",54.1863506,-8.4888522
"3 EMERALD TERRACE, CORK ST, DUBLIN 8",0,0
"3 FOREST HAVEN, DUNMORE EAST, CO WATERFORD",52.1547696,-6.9994447
"3 Laharran Green, Coolkellure, Lehenaghbeg",0,0
"3 THE ORCHARDS, CARLOW, CO. CARLOW",52.8290786,-6.9042683
"3 WOODLANDS, KERRY PIKE, CORK",51.913304,-8.574556
"30 BALLYROAN RD, TEMPLEOGUE, DUBLIN 16",0,0
"31 NEW CABRA RD, PHIBSBOROUGH, DUBLIN 7",53.3608377,-6.2760218
"31 THE PARK BLUE CEDARS, BALLYBOFEY, DONEGAL",0,0
"32 Beresford Green, Donabate, County Dublin",53.4886233,-6.1618056
"33 ST FINBARRS PARK, GLASHEEN RD, CORK",51.8888746,-8.4901261
"33 Temple Hall, Mount Saint Anne's, Milltown",0,0
"34 BEECHWOOD DR, TERMON ABBEY, DROGHEDA",0,0
"34 CONNOLLY ST, ARKLOW, WICKLOW",0,0
"34 LAMBOURN RD, CLONSILLA, DUBLIN 15",0,0
"38 RIVERSIDE DRIVE, KNOCK, CO MAYO",0,0
"4 MOUNT SANDFORD, MILLTOWN, DUBLIN 6",0,0
"4 Reilean, Roscam",0,0
"4 SUNVIEW TERRACE, COLLEGE ROAD, CORK",51.8925816,-8.4879603
"4 the grove, bruff",52.48458425,-8.545443722707219
"40 ABBEYWOOD WAY, LUCAN, DUBLIN",0,0
"40 MAELDUIN, DUNSHAUGHLIN, MEATH",53.5097285,-6.534589360487805
"40VICTORIA EST, COBH, CORK",0,0
"41 MULBERRY PARK, SLIGO, CO SLIGO",54.2797677,-8.4509724
"44 BOIREANN BHEAG, ROSCAM, GALWAY",0,0
"46 Temple Hall, Mount Saint Anne's, Milltown",0,0
"47 BRUACH NA HABHAINN, QUIN ROAD, ENNIS",0,0
"48 KILDONAN AVENUE, FINGLAS WEST, DUBLIN 11",53.3913586,-6.3081506
"49 CLUAIN MUILLEAN, TYONE, NENAGH",0,0
"49 SEAPARK DR, CLONTARF, DUBLIN 3",53.362066,-6.1861871
"5 ASHCROFT COURT, BLANCHARDSTOWN, DUBLIN",0,0
"5 SEMINARY ROAD, BLACKPOOL, CORK",0,0
"50 HILLVIEW ESTATE, BALLINTEER, DUBLIN 16",53.2833882,-6.2614327
"51 ARDAN NA MARA, SEAFIELD, YOUGHAL",0,0
"51 BLOCK 7 THE DARGLE, PROSPECT HILL, FINGLAS RD DUBLIN 11",0,0
"54 CARLTON COURT, SWORDS, DUBLIN",53.4514169,-6.2235734
"55 COIS RIOGA, CAHERCONLISH, LIMERICK",0,0
"56 THE FORTS, DOORADOYLE, LIMERICK",0,0
"57 EAST TULLYVALE CABINTELLY, COURTYARD DUBLIN 18, DUBLIN",0,0
"6 BAUNOGE, MOUNT PLEASANT, LOUGHREA",0,0
"6 Blackrock Mews, Eden, Blackrock",0,0
"6 CHURCH ST, RATHDOWNEY, LAOIS",52.8551206,-7.5792005
"6 GRANARY COURT, BAKER'S ROAD, CHARLEVILLE",0,0
"6 GRANGEVIEW PLACE, CLONDALKIN, DUBLIN 22",53.3291638,-6.430846284563064
"6 LAVERNA AVE, CARPENTERSTOWN CASTLEKNOCK, DUBLIN 15",0,0
"6 SCARIFF HALL, WATERVILLE, BLANCHARDSTOWN DUBLIN 15",53.39198615,-6.373509004050279
"62 SOUTH PARK, FOXROCK, DUBLIN 18",53.27015275,-6.1633204
"62 THE VILLAGE, PORTERSTOWN, DUBLIN 15",53.3953687,-6.4387791
"624 CLONARD RD, DUBLIN 12, DUBLIN",53.60489035,-6.215585374318939
"64 OAKLANDS, SUMMERHILL, CARRICK ON SHANNON",0,0
"65 Fan Glas, Kilmeaden",0,0
"68 WELLINGTON RD, BALLSBRIDGE, DUBLIN 4",0,0
"7 HANSTED RD, FINNSTOWN, LUCAN",0,0
"7 THE LAWN, COOLROE MEADOWS, BALLINCOLLIG",0,0
"70 SPINDLEWOOD, GRAIGUECULLEN, CARLOW",0,0
"70 THE MEADOWS, MIDLETON, CO CORK",51.9307866,-8.1898629
"76 Rowan Hill, Mount Oval  Rochestown",0,0
"80 BALLINTEER DR, BALLINTEER, DUBLIN 16",53.2759726,-6.2528294
"87 CHERRYWOOD, LOUGHLINSTOWN, DUBLIN",53.246864900000006,-6.135115538699861
"9 Hampton Gardens Drive, Balbriggan",53.6090254,-6.2015239
"90 WHITEFIELDS, PORTARLINGTON, LAOIS",53.1520807,-7.1846878
"93 CHARLETON HILL, NEW ROSS, CO WEXFORD",0,0
"93 seagreen park, blacklion",0,0
"APT 10, INISH HOUSE, GOLDEN ISLAND",0,0
"APT 3F8, ADELAIDE SQ, DUBLIN 2",0,0
"APT 9, OLD MOORES, KILKEE",0,0
"ASHVILLE, GRANGE, FERMOY",0,0
"ATLANTIC BAR LIVING AREA, THE SQUARE, KENMARE",0,0
"BALLYVELIG, CAMPILE, NEW ROSS",0,0
"CAROBEG, KILKELLY, MAYO",0,0
"CHURCH ST, CASTLETONROCHE, MALLOW",0,0
"CLONARL, KILLYGORDON, DONEGAL",0,0
"COOLBAUN, FETHARD, TIPPERARY",0,0
"CORAWELIS, CRUBANY, CAVAN",0,0
"CROKERS PARK, KILCORNAN, PALLASHENRY",0,0
"DERRYMORE, KILKERRIN, BALLINASLOE",0,0
"Doomore, Tubbercurry",54.0883549,-8.746907210682085
